...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-96644334,R-HSA-9664433,Leishmania parasite growth and survival,15/370,89/8368,6.96131458364419e-6,5.000544309251e-4,4.5675993934788e-4,2268/2534/5744/2687/113/3709/79651/3569/53831/2209/6850/5734/9332/54331/2214,15,up,Reactome,CMV.nasal,FALSE,1,3.3009827201363535,3.3009827201363535
R-HSA-20294804,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,14/370,83/8368,1.39619289611047e-5,9.2578328957478e-4,8.4562938161184e-4,2268/695/2534/7454/10096/7456/3709/3071/10095/2209/9844/10109/6850/2214,14,up,Reactome,CMV.nasal,FALSE,1,3.033490662515143,3.033490662515143
R-HSA-1686434,R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",11/370,55/8368,2.25264164965318e-5,0.00138698364428646,0.00126689921348916,330/5027/58484/5608/7128/3656/834/114548/9447/64127/837,11,up,Reactome,CMV.nasal,FALSE,1,2.857928660223052,2.857928660223052
R-HSA-20294824,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,11/370,60/8368,5.28856283795087e-5,0.00303916077754243,0.00277603158090333,695/7454/10096/7456/3071/10095/2209/9844/10109/6850/2214,11,up,Reactome,CMV.nasal,FALSE,1,2.5172463242857943,2.5172463242857943
R-HSA-2160834,R-HSA-216083,Integrin cell surface interactions,11/370,64/8368,9.78977470751581e-5,0.00456903322399605,0.00417344834723293,3683/3384/6696/3791/1289/3679/1292/1293/1278/1281/3684,11,up,Reactome,CMV.nasal,FALSE,1,2.3401756839347327,2.3401756839347327
R-HSA-1095824,R-HSA-109582,Hemostasis,38/370,474/8368,2.4078825247826e-4,0.00798305667831796,0.00729188716007062,2268/3683/2534/10235/6813/54518/5027/7040/81704/5216/5777/6678/5341/962/3709/5880/3512/1794/64780/55619/139818/83706/9056/7273/2207/1278/6850/5579/3635/3684/10125/8793/6546/54331/2316/8356/5265/5004,38,up,Reactome,CMV.nasal,FALSE,1,2.0978307873024984,2.0978307873024984
R-HSA-67837835,R-HSA-6783783,Interleukin-10 signaling,19/593,40/8368,3.49289213519878e-12,3.48241345879318e-9,3.18404693587594e-9,3383/1440/3552/6364/941/729230/3553/3976/3569/3557/1234/2919/3627/5724/1435/7124/6351/6349/6348,19,up,Reactome,HSV1.nasal,FALSE,1,8.458119667390884,8.458119667390884
R-HSA-4491475,R-HSA-449147,Signaling by Interleukins,67/593,396/8368,8.92526216409457e-12,4.4492431888011404e-9,4.06804054426626e-9,2534/6813/3566/3595/3383/11213/3162/3560/4792/8767/6804/1440/4790/867/51561/6648/4001/1154/3552/6364/2335/2185/941/729230/1026/3553/5782/3976/3656/3559/3601/3569/56300/3557/27179/26525/3662/10068/834/6775/1848/3561/9446/4314/3570/1234/6283/2919/1278/6809/64127/3575/3627/5724/1901/596/1435/8651/3556/8356/7124/1270/8355/6351/8354/6349/6348,67,up,Reactome,HSV1.nasal,FALSE,1,8.351713855733648,8.351713855733648
R-HSA-3730765,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),32/593,143/8368,3.3772320270141903e-9,1.12236677697772e-6,1.02620453873484e-6,23596/727/6354/6364/9034/729230/7852/57486/6372/5732/135/1234/6374/2919/3627/5724/1901/5734/5031/719/1240/9934/6752/338442/2865/27198/1241/8843/6351/6349/6348/6753,32,up,Reactome,HSV1.nasal,FALSE,1,5.949865197279764,5.949865197279764
R-HSA-1989335,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,25/593,98/8368,1.09861478109496e-8,2.73829734187919e-6,2.50368526428483e-6,933/57823/2213/6614/3383/10859/7087/945/8778/10990/56253/3824/10219/2209/1278/11314/1281/126014/342510/11006/285852/374383/919/4277/89858,25,up,Reactome,HSV1.nasal,FALSE,1,5.562519395162576,5.562519395162576
