"","virus_compartment","feature","shape","average","summed_virus_smooth_coefficients","average_virus_smooth_coefficients","average_coefficient","virus_n","control_n","shape.adj","average.adj"
"300","Human alphaherpesvirus 2 (HSV2).nasal","OSM","0.167282988091822","0.00317047660413068","-4.03957556344289","-0.448841729271432","0.819610735698984","4","492",0.577846288209341,0.208157638335412
"301","Human alphaherpesvirus 2 (HSV2).nasal","IL2","0.879844528943155","0.0417004679471808","-0.0817243429841633","-0.00908048255379592","0.17086543316203","4","492",0.96363924598536,0.426271450126737
"302","Human alphaherpesvirus 2 (HSV2).nasal","CXCL1","0.748614156705497","0.68466915375931","0.458737844028947","0.0509708715587719","0.110504354381173","4","492",0.914296715643026,0.930066677418294
"303","Human alphaherpesvirus 2 (HSV2).nasal","TSLP","0.190987524863001","0.451749722412179","-0.865719947834218","-0.0961911053149131","-0.180467031637222","4","491",0.596784955960805,0.925560004644588
"304","Human alphaherpesvirus 2 (HSV2).nasal","CCL4","0.133063640459422","0.311292904990808","-2.73842072211957","-0.304268969124396","0.216632991006348","4","492",0.556447951012128,0.899371715101128
"305","Human alphaherpesvirus 2 (HSV2).nasal","CD6","0.0914401634678801","0.402916891313964","-1.8773902853452","-0.208598920593911","0.172104106948358","4","492",0.556447951012128,0.925560004644588
"306","Human alphaherpesvirus 2 (HSV2).nasal","KITLG","0.00614823697204558","0.0651370777551618","4.07634344193885","0.452927049104316","-0.415560993725341","4","492",0.414244316028411,0.54478283213408
"307","Human alphaherpesvirus 2 (HSV2).nasal","IL18","0.111590997924802","0.14814800825453","1.89564414244439","0.210627126938266","0.358268953644826","4","492",0.556447951012128,0.899371715101128
"308","Human alphaherpesvirus 2 (HSV2).nasal","SLAMF1","0.265002290204203","0.885311368772676","-1.34548872791342","-0.149498747545935","-0.0308355634913387","4","492",0.653230702431522,0.945827113898989
"309","Human alphaherpesvirus 2 (HSV2).nasal","TGFA","0.0159019771479904","0.00678774907615475","-6.26882015363917","-0.696535572626575","0.654208784878739","4","492",0.414244316028411,0.208157638335412
"310","Human alphaherpesvirus 2 (HSV2).nasal","CCL13","0.603543161115219","0.483387055519753","0.887258847531848","0.0985843163924275","-0.177248191634798","4","492",0.880449850387906,0.925560004644588
"311","Human alphaherpesvirus 2 (HSV2).nasal","CCL11","0.649248302539315","0.20779082593556","0.597570492208934","0.0663967213565482","-0.221110933203038","4","492",0.880449850387906,0.899371715101128
"312","Human alphaherpesvirus 2 (HSV2).nasal","TNFSF14","0.117252564436282","0.0218241448205885","-3.41928434136522","-0.379920482373913","0.47436466482235","4","492",0.556447951012128,0.327170405786047
"313","Human alphaherpesvirus 2 (HSV2).nasal","FGF23","0.588058166005814","0.829050370476025","-1.25189840508202","-0.139099822786892","-0.0837621877123424","4","492",0.880449850387906,0.94392665852948
"314","Human alphaherpesvirus 2 (HSV2).nasal","IL10RA","0.87862887992401","0.366369095277949","0.159869146781536","0.0177632385312818","-0.241440733682385","4","492",0.96363924598536,0.925560004644588
"315","Human alphaherpesvirus 2 (HSV2).nasal","FGF5","0.873106541551368","0.573444785486321","-0.121249557997865","-0.0134721731108738","0.0781171898032198","4","492",0.96363924598536,0.925560004644588
"316","Human alphaherpesvirus 2 (HSV2).nasal","MMP1","0.544442444545879","0.737987689690603","0.768508699056479","0.0853898554507199","0.0989089385932912","4","492",0.878749208740717,0.930066677418294
"317","Human alphaherpesvirus 2 (HSV2).nasal","LIFR","0.17586626162893","0.299294176262918","1.1827866527698","0.131420739196645","0.129800734012734","4","492",0.577846288209341,0.899371715101128
"318","Human alphaherpesvirus 2 (HSV2).nasal","FGF21","0.174758284077156","0.863826421945441","6.54406144788598","0.727117938653997","-0.0951774699601301","4","492",0.577846288209341,0.945827113898989
"319","Human alphaherpesvirus 2 (HSV2).nasal","CCL19","0.34069304922099","0.68002080973935","2.45649443194163","0.272943825771293","-0.147935636005928","4","492",0.76465753900876,0.930066677418294
"320","Human alphaherpesvirus 2 (HSV2).nasal","IL15RA","0.994447898955585","0.962609548701065","-0.00478724638359703","-0.000531916264844114","0.00798335808317662","4","492",0.994447898955585,0.963311750949919
"321","Human alphaherpesvirus 2 (HSV2).nasal","IL10RB","0.992099970897605","0.494103013905942","-0.00773993527021371","-0.000859992807801524","-0.0999701793843669","4","492",0.994447898955585,0.925560004644588
"322","Human alphaherpesvirus 2 (HSV2).nasal","IL22RA1","0.346088271376656","0.657931394404989","1.52153931285312","0.169059923650346","-0.0885014003368572","4","492",0.76465753900876,0.930066677418294
"323","Human alphaherpesvirus 2 (HSV2).nasal","IL18R1","0.671896655255829","0.298618232235711","0.440847187905442","0.0489830208783825","0.184218749948876","4","492",0.880449850387906,0.899371715101128
"324","Human alphaherpesvirus 2 (HSV2).nasal","CD274","0.67899359056894","0.379034535648554","0.443967972116864","0.0493297746796516","0.186340518709679","4","492",0.880449850387906,0.925560004644588
"325","Human alphaherpesvirus 2 (HSV2).nasal","NGF","0.681481758468027","0.238436148425166","0.240314628028064","0.0267016253364516","0.0622057955363089","4","492",0.880449850387906,0.899371715101128
"326","Human alphaherpesvirus 2 (HSV2).nasal","CXCL5","0.194603789987219","0.151327143784387","-2.62994169629639","-0.292215744032932","0.533492969961076","4","492",0.596784955960805,0.899371715101128
"327","Human alphaherpesvirus 2 (HSV2).nasal","TNFSF11","0.0986016013880826","0.569784637403079","-2.95892553359418","-0.328769503732687","0.135728411691443","4","492",0.556447951012128,0.925560004644588
"328","Human alphaherpesvirus 2 (HSV2).nasal","HGF","0.755288591183369","0.0100547240326186","0.718332274863047","0.0798146972070052","0.628233200627051","4","492",0.914296715643026,0.231258652750228
"329","Human alphaherpesvirus 2 (HSV2).nasal","IL12B","0.59028921249573","0.617422590240315","-1.52285502162008","-0.169206113513342","-0.187633117377479","4","492",0.880449850387906,0.930066677418294
"330","Human alphaherpesvirus 2 (HSV2).nasal","IL24","0.940108041675238","0.689691360358734","0.14652133930459","0.0162801488116211","0.0919460991163842","4","482",0.974510179668434,0.930066677418294
"331","Human alphaherpesvirus 2 (HSV2).nasal","IL13","0.509259742160589","0.60755089927518","-0.720567195831519","-0.0800630217590576","0.107098207275056","4","492",0.867627708866189,0.930066677418294
"332","Human alphaherpesvirus 2 (HSV2).nasal","ARTN","0.878873295938053","0.737776385243664","-0.168317630389796","-0.0187019589321995","0.0523098721873999","4","492",0.96363924598536,0.930066677418294
"333","Human alphaherpesvirus 2 (HSV2).nasal","MMP10","0.210816159270121","0.307644175851792","-1.99371411315311","-0.221523790350345","0.236184319652705","4","492",0.615248467154088,0.899371715101128
"334","Human alphaherpesvirus 2 (HSV2).nasal","IL10","0.214328712831495","0.937578342969422","3.26921792976475","0.363246436640528","0.0240533813426815","4","492",0.615248467154088,0.963311750949919
"335","Human alphaherpesvirus 2 (HSV2).nasal","TNF","0.262810985406105","0.904704195903381","1.73185708557137","0.192428565063485","-0.0259474118955181","4","492",0.653230702431522,0.945827113898989
"336","Human alphaherpesvirus 2 (HSV2).nasal","CCL23","0.663309406987928","0.210150799912042","0.61251670982874","0.0680574122031934","-0.216776392518981","4","492",0.880449850387906,0.899371715101128
"337","Human alphaherpesvirus 2 (HSV2).nasal","CD5","0.446620847924792","0.424275759917014","-0.704682549010154","-0.0782980610011282","0.163598843888904","4","492",0.821782360181617,0.925560004644588
"338","Human alphaherpesvirus 2 (HSV2).nasal","CCL3","0.673694305081102","0.507291945048458","-0.917352021899107","-0.101928002433234","0.217149790663127","4","492",0.880449850387906,0.925560004644588
"339","Human alphaherpesvirus 2 (HSV2).nasal","FLT3LG","0.669285485600325","0.120836798512028","-1.00655848638031","-0.111839831820035","-0.35612600902692","4","492",0.880449850387906,0.855152727931275
"340","Human alphaherpesvirus 2 (HSV2).nasal","CXCL6","0.752372196638366","0.84913594680904","-0.419677356976894","-0.0466308174418771","-0.0537062704431084","4","492",0.914296715643026,0.94392665852948
"341","Human alphaherpesvirus 2 (HSV2).nasal","CXCL10","0.0552627064606486","0.0807949488156971","5.02889006682063","0.55876556298007","0.570811303637834","4","492",0.556447951012128,0.619427940920344
"342","Human alphaherpesvirus 2 (HSV2).nasal","EIF4EBP1","0.419731995745069","0.760617933663307","0.580027323371921","0.0644474803746579","0.0866357921688455","4","492",0.804486325178049,0.933024665293656
"343","Human alphaherpesvirus 2 (HSV2).nasal","IL20","0.804490867474418","0.560804358647189","-0.258815364056035","-0.0287572626728927","-0.0794617275430037","4","492",0.92595825507369,0.925560004644588
"344","Human alphaherpesvirus 2 (HSV2).nasal","SIRT2","0.781788569943071","0.377289891126427","-0.860562558149693","-0.0956180620166325","0.232249649523902","4","492",0.922109595317468,0.925560004644588
"345","Human alphaherpesvirus 2 (HSV2).nasal","CCL28","0.981711716219068","0.221105237634368","-0.0367341853418004","-0.00408157614908894","0.26274999487652","4","492",0.994447898955585,0.899371715101128
"346","Human alphaherpesvirus 2 (HSV2).nasal","DNER","0.638245516810608","0.429801713010633","-0.320086367425782","-0.035565151936198","0.0827496530506217","4","492",0.880449850387906,0.925560004644588
