"","name","percent","count","sum","day","upper_CI","lower_CI","compartment","virus"
"86","Human alphaherpesvirus 2 (HSV2).nasal",0,258,0,10,0.0182876797817462,0,"nasal","Human alphaherpesvirus 2 (HSV2)"
"87","Human betaherpesvirus 5 (CMV).nasal",1.15830115830116,259,3,10,0.0362883580183955,0.00299621092043018,"nasal","Human betaherpesvirus 5 (CMV)"
"88","Human betaherpesvirus 5 (CMV).pbmc",1.76056338028169,284,5,10,0.0429444055876321,0.00649941055154519,"pbmc","Human betaherpesvirus 5 (CMV)"
"89","Human gammaherpesvirus 4 (EBV).nasal",4.24710424710425,259,11,10,0.07683724089915,0.022485123164122,"nasal","Human gammaherpesvirus 4 (EBV)"
"90","Human gammaherpesvirus 4 (EBV).pbmc",11.9718309859155,284,34,10,0.164606766007865,0.085446053220361,"pbmc","Human gammaherpesvirus 4 (EBV)"
"91","Anelloviridae.nasal",0.602409638554217,166,1,11,0.0381918571800446,0.000314538938363462,"nasal","Anelloviridae"
"92","Anelloviridae.pbmc",11.0526315789474,190,21,11,0.166073720544837,0.0713044175810832,"pbmc","Anelloviridae"
"93","Enterovirus.nasal",4.81927710843374,166,8,11,0.0960238018192993,0.0225808984013613,"nasal","Enterovirus"
"94","Human alphaherpesvirus 1 (HSV1).nasal",8.69565217391304,161,14,11,0.14434832230845,0.0501408029290695,"nasal","Human alphaherpesvirus 1 (HSV1)"
"95","Human alphaherpesvirus 2 (HSV2).nasal",0,166,0,11,0.0281912149235683,0,"nasal","Human alphaherpesvirus 2 (HSV2)"
"96","Human betaherpesvirus 5 (CMV).nasal",1.80722891566265,166,3,11,0.0560858653776651,0.0046789672658512,"nasal","Human betaherpesvirus 5 (CMV)"
"97","Human betaherpesvirus 5 (CMV).pbmc",2.63157894736842,190,5,11,0.0636636282743009,0.00972813511202798,"pbmc","Human betaherpesvirus 5 (CMV)"
"98","Human gammaherpesvirus 4 (EBV).nasal",3.01204819277108,166,5,11,0.07260686583589,0.0111412539940794,"nasal","Human gammaherpesvirus 4 (EBV)"
"99","Human gammaherpesvirus 4 (EBV).pbmc",9.47368421052632,190,18,11,0.147837422323459,0.0586854573852903,"pbmc","Human gammaherpesvirus 4 (EBV)"
"100","Anelloviridae.nasal",0.564971751412429,177,1,12,0.0358716881926025,0.000294986642288938,"nasal","Anelloviridae"
"101","Anelloviridae.pbmc",11.5789473684211,190,22,12,0.172092480776461,0.0755745785634719,"pbmc","Anelloviridae"
"102","Enterovirus.nasal",4.51977401129944,177,8,12,0.0902317399101399,0.021167357612722,"nasal","Enterovirus"
"103","Human alphaherpesvirus 1 (HSV1).nasal",11.1111111111111,171,19,12,0.170386608638858,0.069956205041258,"nasal","Human alphaherpesvirus 1 (HSV1)"
"104","Human alphaherpesvirus 2 (HSV2).nasal",0.564971751412429,177,1,12,0.0358716881926025,0.000294986642288938,"nasal","Human alphaherpesvirus 2 (HSV2)"
"105","Human betaherpesvirus 5 (CMV).nasal",2.25988700564972,177,4,12,0.0605636916983296,0.00726386707375542,"nasal","Human betaherpesvirus 5 (CMV)"
"106","Human betaherpesvirus 5 (CMV).pbmc",4.21052631578947,190,8,12,0.0842272314965554,0.0197092681398907,"pbmc","Human betaherpesvirus 5 (CMV)"
"107","Human gammaherpesvirus 4 (EBV).nasal",4.51977401129944,177,8,12,0.0902317399101399,0.021167357612722,"nasal","Human gammaherpesvirus 4 (EBV)"
"108","Human gammaherpesvirus 4 (EBV).pbmc",13.6842105263158,190,26,12,0.195909018304695,0.0929280634159216,"pbmc","Human gammaherpesvirus 4 (EBV)"
"109","Anelloviridae.nasal",0.873362445414847,229,2,13,0.034582581522974,0.00151417552986941,"nasal","Anelloviridae"
"110","Anelloviridae.pbmc",11.4893617021277,235,27,13,0.164409985440243,0.0783990128552541,"pbmc","Anelloviridae"
"111","Enterovirus.nasal",3.49344978165939,229,8,13,0.0702098047067647,0.0163338929443251,"nasal","Enterovirus"
"112","Human alphaherpesvirus 1 (HSV1).nasal",11.2107623318386,223,25,13,0.162805283235929,0.075244022286704,"nasal","Human alphaherpesvirus 1 (HSV1)"
"113","Human alphaherpesvirus 2 (HSV2).nasal",0.436681222707424,229,1,13,0.0278683015227356,0.000227990386227868,"nasal","Human alphaherpesvirus 2 (HSV2)"
"114","Human betaherpesvirus 5 (CMV).nasal",1.74672489082969,229,4,13,0.0470853602414684,0.00561010638944332,"nasal","Human betaherpesvirus 5 (CMV)"
"115","Human betaherpesvirus 5 (CMV).pbmc",4.25531914893617,235,10,13,0.0792098599548346,0.0217682977889176,"pbmc","Human betaherpesvirus 5 (CMV)"
"116","Human gammaherpesvirus 4 (EBV).nasal",3.49344978165939,229,8,13,0.0702098047067647,0.0163338929443251,"nasal","Human gammaherpesvirus 4 (EBV)"
"117","Human gammaherpesvirus 4 (EBV).pbmc",10.6382978723404,235,25,13,0.154751242812996,0.0713455599196734,"pbmc","Human gammaherpesvirus 4 (EBV)"
"118","Anelloviridae.nasal",1.3840830449827,289,4,14,0.0374645713886705,0.00444296419916528,"nasal","Anelloviridae"
"119","Anelloviridae.pbmc",10.2739726027397,292,30,14,0.144816117151489,0.0714785523098615,"pbmc","Anelloviridae"
"120","Enterovirus.nasal",2.7681660899654,289,8,14,0.0558969429369379,0.0129278069165328,"nasal","Enterovirus"
"121","Human alphaherpesvirus 1 (HSV1).nasal",11.660777385159,283,33,14,0.161218203079649,0.0827437417473965,"nasal","Human alphaherpesvirus 1 (HSV1)"
"122","Human alphaherpesvirus 2 (HSV2).nasal",0.69204152249135,289,2,14,0.0275072199287548,0.0011995778048245,"nasal","Human alphaherpesvirus 2 (HSV2)"
"123","Human betaherpesvirus 5 (CMV).nasal",1.73010380622837,289,5,14,0.0422136154787526,0.00638666085285748,"nasal","Human betaherpesvirus 5 (CMV)"
"124","Human betaherpesvirus 5 (CMV).pbmc",4.10958904109589,292,12,14,0.0725629774944047,0.0224076325252744,"pbmc","Human betaherpesvirus 5 (CMV)"
"125","Human gammaherpesvirus 4 (EBV).nasal",3.11418685121107,289,9,14,0.0603206973816385,0.0152728255262608,"nasal","Human gammaherpesvirus 4 (EBV)"
"126","Human gammaherpesvirus 4 (EBV).pbmc",10.6164383561644,292,31,14,0.148683624015296,0.0743602588681878,"pbmc","Human gammaherpesvirus 4 (EBV)"
"127","Anelloviridae.nasal",1.36518771331058,293,4,15,0.0369610886994415,0.00438218547590633,"nasal","Anelloviridae"
"128","Anelloviridae.pbmc",10.1010101010101,297,30,15,0.142442106371859,0.0702594115733783,"pbmc","Anelloviridae"
"129","Enterovirus.nasal",2.38907849829352,293,7,15,0.0507225867042692,0.0105084302713182,"nasal","Enterovirus"
"130","Human alphaherpesvirus 1 (HSV1).nasal",11.4186851211073,289,33,15,0.157964877252443,0.0810008848935566,"nasal","Human alphaherpesvirus 1 (HSV1)"
"131","Human alphaherpesvirus 2 (HSV2).nasal",0.68259385665529,293,2,15,0.0271370800604806,0.00118318919115809,"nasal","Human alphaherpesvirus 2 (HSV2)"
"132","Human betaherpesvirus 5 (CMV).nasal",1.70648464163823,293,5,15,0.0416466494322481,0.00629923912575948,"nasal","Human betaherpesvirus 5 (CMV)"
"133","Human betaherpesvirus 5 (CMV).pbmc",4.37710437710438,297,13,15,0.0755015255444416,0.0245041577943183,"pbmc","Human betaherpesvirus 5 (CMV)"
"134","Human gammaherpesvirus 4 (EBV).nasal",3.41296928327645,293,10,15,0.0638252902835493,0.0174360632167925,"nasal","Human gammaherpesvirus 4 (EBV)"
"135","Human gammaherpesvirus 4 (EBV).pbmc",9.42760942760943,297,28,15,0.134798913514419,0.0646299342139682,"pbmc","Human gammaherpesvirus 4 (EBV)"
"136","Anelloviridae.nasal",1.51515151515152,264,4,16,0.0409510094915352,0.00486465392321738,"nasal","Anelloviridae"
"137","Anelloviridae.pbmc",12.3134328358209,268,33,16,0.169968939822829,0.0874478403199645,"pbmc","Anelloviridae"
"138","Enterovirus.nasal",2.65151515151515,264,7,16,0.0561876229314764,0.0116676477408599,"nasal","Enterovirus"
"139","Human alphaherpesvirus 1 (HSV1).nasal",11.5384615384615,260,30,16,0.16210529113833,0.0804085972528037,"nasal","Human alphaherpesvirus 1 (HSV1)"
"140","Human alphaherpesvirus 2 (HSV2).nasal",0.757575757575758,264,2,16,0.0300706694677517,0.0013132675470157,"nasal","Human alphaherpesvirus 2 (HSV2)"
"141","Human betaherpesvirus 5 (CMV).nasal",1.51515151515152,264,4,16,0.0409510094915352,0.00486465392321738,"nasal","Human betaherpesvirus 5 (CMV)"
"142","Human betaherpesvirus 5 (CMV).pbmc",4.47761194029851,268,12,16,0.0789212322916628,0.0244281608661837,"pbmc","Human betaherpesvirus 5 (CMV)"
"143","Human gammaherpesvirus 4 (EBV).nasal",2.65151515151515,264,7,16,0.0561876229314764,0.0116676477408599,"nasal","Human gammaherpesvirus 4 (EBV)"
"144","Human gammaherpesvirus 4 (EBV).pbmc",8.95522388059701,268,24,16,0.131934848377146,0.0593895525164724,"pbmc","Human gammaherpesvirus 4 (EBV)"
"145","Anelloviridae.nasal",1.50753768844221,199,3,17,0.0469895413472756,0.00390145534694722,"nasal","Anelloviridae"
"146","Anelloviridae.pbmc",11.4427860696517,201,23,17,0.168684522753448,0.0754316072872236,"pbmc","Anelloviridae"
"147","Enterovirus.nasal",3.51758793969849,199,7,17,0.0740754670891626,0.0155001522313736,"nasal","Enterovirus"
"148","Human alphaherpesvirus 1 (HSV1).nasal",10.2040816326531,196,20,17,0.155297191449602,0.0649814038059371,"nasal","Human alphaherpesvirus 1 (HSV1)"
"149","Human alphaherpesvirus 2 (HSV2).nasal",0.50251256281407,199,1,17,0.0319854166744766,0.000262368111944685,"nasal","Human alphaherpesvirus 2 (HSV2)"
"150","Human betaherpesvirus 5 (CMV).nasal",1.50753768844221,199,3,17,0.0469895413472756,0.00390145534694722,"nasal","Human betaherpesvirus 5 (CMV)"
"151","Human betaherpesvirus 5 (CMV).pbmc",3.48258706467662,201,7,17,0.0733569251696861,0.0153450604422545,"pbmc","Human betaherpesvirus 5 (CMV)"
"152","Human gammaherpesvirus 4 (EBV).nasal",1.50753768844221,199,3,17,0.0469895413472756,0.00390145534694722,"nasal","Human gammaherpesvirus 4 (EBV)"
"153","Human gammaherpesvirus 4 (EBV).pbmc",5.4726368159204,201,11,17,0.0983888361444196,0.0290290878118559,"pbmc","Human gammaherpesvirus 4 (EBV)"
"154","Anelloviridae.nasal",1.58730158730159,126,2,18,0.0619250539229348,0.00275408975867953,"nasal","Anelloviridae"
"155","Anelloviridae.pbmc",8.59375,128,11,18,0.152047834491161,0.0458113786331786,"pbmc","Anelloviridae"
"156","Enterovirus.nasal",2.38095238095238,126,3,18,0.0732795905858799,0.00616921196870021,"nasal","Enterovirus"
"157","Human alphaherpesvirus 1 (HSV1).nasal",8.94308943089431,123,11,18,0.157945370789514,0.0477003909121434,"nasal","Human alphaherpesvirus 1 (HSV1)"
"158","Human alphaherpesvirus 2 (HSV2).nasal",0.793650793650794,126,1,18,0.0499367755691808,0.000414426147841774,"nasal","Human alphaherpesvirus 2 (HSV2)"
"159","Human betaherpesvirus 5 (CMV).nasal",0.793650793650794,126,1,18,0.0499367755691808,0.000414426147841774,"nasal","Human betaherpesvirus 5 (CMV)"
"160","Human betaherpesvirus 5 (CMV).pbmc",3.125,128,4,18,0.0829316172110689,0.010057665135882,"pbmc","Human betaherpesvirus 5 (CMV)"
"161","Human gammaherpesvirus 4 (EBV).nasal",1.58730158730159,126,2,18,0.0619250539229348,0.00275408975867953,"nasal","Human gammaherpesvirus 4 (EBV)"
"162","Human gammaherpesvirus 4 (EBV).pbmc",7.8125,128,10,18,0.142607795751707,0.040192856886246,"pbmc","Human gammaherpesvirus 4 (EBV)"
"163","Anelloviridae.nasal",1.16279069767442,86,1,19,0.0721120450035698,0.000607277500849731,"nasal","Anelloviridae"
"164","Anelloviridae.pbmc",12.5,88,11,19,0.216771727934757,0.0670590198783401,"pbmc","Anelloviridae"
"165","Enterovirus.nasal",2.32558139534884,86,2,19,0.089359371050345,0.00403830819080933,"nasal","Enterovirus"
"166","Human alphaherpesvirus 1 (HSV1).nasal",8.43373493975904,83,7,19,0.171444850796124,0.0374615010103389,"nasal","Human alphaherpesvirus 1 (HSV1)"
"167","Human alphaherpesvirus 2 (HSV2).nasal",0,86,0,19,0.0532816384211048,0,"nasal","Human alphaherpesvirus 2 (HSV2)"
"168","Human betaherpesvirus 5 (CMV).nasal",1.16279069767442,86,1,19,0.0721120450035698,0.000607277500849731,"nasal","Human betaherpesvirus 5 (CMV)"
"169","Human betaherpesvirus 5 (CMV).pbmc",7.95454545454545,88,7,19,0.16225821071883,0.0353051041326149,"pbmc","Human betaherpesvirus 5 (CMV)"
"170","Human gammaherpesvirus 4 (EBV).nasal",4.65116279069767,86,4,19,0.121333991282538,0.0150042115243259,"nasal","Human gammaherpesvirus 4 (EBV)"
"171","Human gammaherpesvirus 4 (EBV).pbmc",11.3636363636364,88,10,19,0.20342295133243,0.058802220514412,"pbmc","Human gammaherpesvirus 4 (EBV)"
"172","Anelloviridae.nasal",2.35294117647059,85,2,20,0.0903600763020169,0.00408593963326897,"nasal","Anelloviridae"
"173","Anelloviridae.pbmc",12.5,96,12,20,0.211963713455054,0.0690680649974598,"pbmc","Anelloviridae"
"174","Enterovirus.nasal",2.35294117647059,85,2,20,0.0903600763020169,0.00408593963326897,"nasal","Enterovirus"
"175","Human alphaherpesvirus 1 (HSV1).nasal",13.4146341463415,82,11,20,0.231543071558928,0.0720744981943528,"nasal","Human alphaherpesvirus 1 (HSV1)"
"176","Human alphaherpesvirus 2 (HSV2).nasal",0,85,0,20,0.0538810643814274,0,"nasal","Human alphaherpesvirus 2 (HSV2)"
"177","Human betaherpesvirus 5 (CMV).nasal",2.35294117647059,85,2,20,0.0903600763020169,0.00408593963326897,"nasal","Human betaherpesvirus 5 (CMV)"
"178","Human betaherpesvirus 5 (CMV).pbmc",6.25,96,6,20,0.136354235015709,0.0256611838639996,"pbmc","Human betaherpesvirus 5 (CMV)"
"179","Human gammaherpesvirus 4 (EBV).nasal",4.70588235294118,85,4,20,0.122686357509634,0.0151819956565338,"nasal","Human gammaherpesvirus 4 (EBV)"
"180","Human gammaherpesvirus 4 (EBV).pbmc",14.5833333333333,96,14,20,0.235979709993509,0.084875226842071,"pbmc","Human gammaherpesvirus 4 (EBV)"
"181","Anelloviridae.nasal",2.12765957446809,94,2,21,0.0820865509125215,0.00369382516686157,"nasal","Anelloviridae"
"182","Anelloviridae.pbmc",11.6071428571429,112,13,21,0.193730116552294,0.065717178842594,"pbmc","Anelloviridae"
"183","Enterovirus.nasal",1.06382978723404,94,1,21,0.0662300997536764,0.000555571002062618,"nasal","Enterovirus"
