"","name","plate","trajectory_group","count","freq"
"153","CMV.nasal","3B_6","4",1,0.0169491525423729
"154","CMV.nasal","3B_7","4",3,0.0365853658536585
"155","EBV.nasal","1_1","1",1,0.0117647058823529
"156","EBV.nasal","1_1","2",3,0.0352941176470588
"157","EBV.nasal","1_2","3",1,0.0147058823529412
"158","EBV.nasal","1_3","4",1,0.012987012987013
"159","EBV.nasal","1_4","5",3,0.0410958904109589
"160","EBV.nasal","1_5",NA,NA,0
"161","EBV.nasal","2_1","3",1,0.0121951219512195
"162","EBV.nasal","2_1","5",4,0.0487804878048781
"163","EBV.nasal","2_10","3",1,0.02
"164","EBV.nasal","2_2","1",1,0.0117647058823529
"165","EBV.nasal","2_2","4",1,0.0117647058823529
"166","EBV.nasal","2_3","4",1,0.0126582278481013
