name,percent,day,compartment,virus
Human betaherpesvirus 5 (CMV).ea,0,17,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,0.9463722397476341,17,nasal,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).pbmc,1.483679525222552,17,pbmc,Human betaherpesvirus 5 (CMV)
Human gammaherpesvirus 4 (EBV).ea,1.639344262295082,17,ea,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).nasal,4.416403785488959,17,nasal,Human gammaherpesvirus 4 (EBV)
Human gammaherpesvirus 4 (EBV).pbmc,16.023738872403563,17,pbmc,Human gammaherpesvirus 4 (EBV)
SARS-CoV-2.ea,80.32786885245902,17,ea,SARS-CoV-2
SARS-CoV-2.nasal,87.69716088328076,17,nasal,SARS-CoV-2
SARS-CoV-2.pbmc,0,17,pbmc,SARS-CoV-2
Anelloviridae.ea,0,18,ea,Anelloviridae
Anelloviridae.nasal,1.7985611510791366,18,nasal,Anelloviridae
Anelloviridae.pbmc,11.784511784511785,18,pbmc,Anelloviridae
Enterovirus.nasal,2.5179856115107913,18,nasal,Enterovirus
Human alphaherpesvirus 1 (HSV1).ea,25,18,ea,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 1 (HSV1).nasal,5.88235294117647,18,nasal,Human alphaherpesvirus 1 (HSV1)
Human alphaherpesvirus 2 (HSV2).ea,0,18,ea,Human alphaherpesvirus 2 (HSV2)
Human alphaherpesvirus 2 (HSV2).nasal,0.7194244604316548,18,nasal,Human alphaherpesvirus 2 (HSV2)
Human betaherpesvirus 5 (CMV).ea,0,18,ea,Human betaherpesvirus 5 (CMV)
Human betaherpesvirus 5 (CMV).nasal,1.079136690647482,18,nasal,Human betaherpesvirus 5 (CMV)
