"","Anelloviridae.pbmc","HSV1.nasal","CMV.pbmc","EBV.nasal","EBV.pbmc"
"hydroxy-N6,N6,N6-trimethyllysine*",0,0,2.42694823339393,0,0
"2,4-di-tert-butylphenol",0,0,-2.15862963696243,0,0
"bilirubin degradation product, C17H20N2O5 (1)**",0,0,-2.87710421442726,0,0
"bilirubin degradation product, C17H20N2O5 (2)**",0,0,-2.30634275262489,0,0
"picolinate",0,0,2.52029509429862,0,0
"thyroxine",0,0,-2.22492001928622,0,0
"vanillylmandelate (VMA)",0,0,-2.19003422764569,0,0
"3-aminoisobutyrate",0,0,2.1306902419893,0,0
"oleoyl ethanolamide",0,0,2.00744389730123,0,0
"N-acetylneuraminate",0,0,2.14137977655283,0,0
"creatine",0,0,3.31308092428976,0,2.01397732916522
"dihomo-linoleate (20:2n6)",0,0,2.99048617227917,0,0
"beta-hydroxyisovalerate",0,0,2.34501657861069,2.125264901694,0
"N-acetylputrescine",0,0,2.04343832785413,0,0
"cholesterol",0,0,-2.10747726234729,0,0
"guanidinoacetate",0,0,-2.20052634192011,0,0
"palmitate (16:0)",0,0,2.01128779458786,0,0
"stearate (18:0)",0,0,2.08112864556482,0,0
"orotate",0,0,2.69679965848487,0,0
"phenylalanine",0,0,3.18689648484361,0,0
"margarate (17:0)",0,0,2.17955820057661,0,0
"kynurenate",0,0,2.78286640867282,2.20142711273382,0
"epiandrosterone sulfate",0,0,0,-2.40944607959021,0
"3-hydroxystachydrine*",0,0,0,-2.40944607959021,0
"metabolonic lactone sulfate",0,0,0,-3.01828737419791,0
