"","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","virus","knock_in"
"87544","ENSG00000023191",0.231320837156758,6.30333466820348,2.775569177606,0.00556268139279329,0.0172065956338177,-2.87263284485564,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87545","ENSG00000023228",-0.149960219808512,6.67957574846165,-3.01291264537786,0.00262055836265013,0.00957357114683022,-2.23382049021677,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87546","ENSG00000023287",-0.0825224510159848,7.42282873399595,-2.45308405730768,0.014249996357307,0.0359691099852872,-3.7348101838455,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87547","ENSG00000023318",0.0499514772887338,6.3692783757569,1.39660172998203,0.162690974577708,0.249096529151016,-5.7158336913315,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87548","ENSG00000023330",0.0476956039501543,6.40339997573041,1.33082333721855,0.183401433232836,0.274151860477239,-5.80889727123775,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87549","ENSG00000023445",0.162860613289994,5.54789584825307,1.92176136880749,0.0547801594630883,0.105568019658744,-4.85896094294651,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87550","ENSG00000023516",-0.211750514716067,5.9422207921687,-3.47981956506897,0.000512686918921082,0.00271949239752226,-0.745571591943245,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87551","ENSG00000023572",-0.048606624796274,1.92521495197255,-0.627127872513662,0.530648222294433,0.628549488155537,-5.98789738989932,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87552","ENSG00000023608",0.383261900601283,3.31116500916168,4.88309294107508,1.12865562694567e-06,2.78885566852865e-05,5.11413112817254,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87553","ENSG00000023697",-0.146187466823098,5.09874668120158,-2.91558271647656,0.0035904325592107,0.0121510678566808,-2.38656590401169,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87554","ENSG00000023734",-0.0577748991245212,6.30261223934693,-1.79402070620665,0.0729634367277361,0.131993081164179,-5.0881945163711,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87555","ENSG00000023839",0.123035296750511,1.73958251567613,1.18197422561581,0.23735883704184,0.335895410505778,-5.5344511311437,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87556","ENSG00000023892",0.132356391822578,4.85997579552646,1.6992901824951,0.0894226854681276,0.154872117912317,-5.14694182381388,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87557","ENSG00000023902",0.407531705057833,3.31382236734826,3.25644363655708,0.00114736038602224,0.00501051970198891,-1.2730478051199,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87558","ENSG00000023909",-0.103221231664685,7.02702753799748,-1.73823403475509,0.0823261124052069,0.145089287619511,-5.21057557928649,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87559","ENSG00000024048",-0.0534471039196529,6.88772273569035,-1.10314386442098,0.270099675657603,0.371617252616412,-6.09714545258849,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87560","ENSG00000024422",0.404504662668779,1.7390806429123,4.04221206372634,5.49895500870797e-05,0.000492566691254735,1.60079919062426,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87561","ENSG00000024526",0.0689513093502661,0.521975069187308,0.572405655295259,0.56711261926989,0.660169797722316,-5.99288520363452,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87562","ENSG00000024862",-0.0645250937864837,4.88212395242224,-1.17101043448162,0.241736461016419,0.340658490990063,-5.83250791056989,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87563","ENSG00000025039",0.0416274649924377,5.83159847941094,0.912367905520666,0.361686915708612,0.46685760468465,-6.27364271301396,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
