"","group_id","timepoint","shannon"
"258","Other ABX","Day 4-6",0
"259","Azithromycin","Day 0-2",0.944416331750475
"260","Other ABX","Day 0-2",0.867563228481461
"261","Azithromycin","Day 0-2",1.61625729022076
"262","Azithromycin","Day 0-2",1.79731584722309
"263","No ABX","Day 4-6",1.20569777201152
"264","Azithromycin","Day 0-2",1.94355697036519
"265","Azithromycin","Day 0-2",0.548117880441845
"266","Azithromycin","Day 0-2",1.91988293913505
"267","Azithromycin","Day 0-2",0.693147180559945
"268","Azithromycin","Day 0-2",0.746477709484478
"269","Azithromycin","Day 0-2",1.6493041116373
"270","Other ABX","Day 0-2",1.02003695840184
"271","Azithromycin","Day 0-2",0.24970700502113
"272","Other ABX","Day 0-2",2.05678076463207
"273","Other ABX","Day 0-2",1.6660518654221
"274","No ABX","Day 0-2",1.31078367809971
"275","No ABX","Day 4-6",1.26347949406503
"276","Azithromycin","Day 0-2",2.23580990359382
"277","Other ABX","Day 0-2",0.88186313134152
"278","Other ABX","Day 0-2",1.2130075659799
"279","No ABX","Day 0-2",1.42412991734677
"280","Azithromycin","Day 0-2",1.00761210401622
"281","Azithromycin","Day 0-2",1.69488093808131
"282","Azithromycin","Day 0-2",1.76948841531069
"283","Azithromycin","Day 0-2",1.03972077083992
"284","Azithromycin","Day 0-2",0.636514168294813
"285","Other ABX","Day 0-2",0.500402423538188
"286","Azithromycin","Day 0-2",0.693147180559945
"287","Azithromycin","Day 0-2",0.450561208866305
"288","Azithromycin","Day 0-2",1.16159133432945
"289","Azithromycin","Day 0-2",2.05554480794729
"290","Other ABX","Day 0-2",0.636514168294813
"291","No ABX","Day 4-6",0.376770161256437
"292","No ABX","Day 0-2",1.35923670066501
"293","Azithromycin","Day 0-2",0
"294","Other ABX","Day 0-2",1.96523704938023
"295","Other ABX","Day 4-6",1.58225888467519
"296","Azithromycin","Day 0-2",1.47507631105469
"297","Azithromycin","Day 0-2",1.86811129228579
"298","Other ABX","Day 0-2",1.2130075659799
"299","Azithromycin","Day 0-2",2.02587192879525
"300","Other ABX","Day 0-2",0
"301","Other ABX","Day 0-2",0.636514168294813
"302","Other ABX","Day 0-2",1.03865131556752
"303","Azithromycin","Day 0-2",0.958934315932404
"304","Azithromycin","Day 0-2",0.693147180559945
"305","No ABX","Day 0-2",1.11425424855562
"306","Other ABX","Day 0-2",0.803742107316203
"307","Other ABX","Day 4-6",1.28590694591592
"308","No ABX","Day 0-2",1.39061935686839
"309","Other ABX","Day 0-2",0.942277561377615
"310","Other ABX","Day 4-6",1.64997581253344
"311","No ABX","Day 0-2",0.710185650438784
"312","Other ABX","Day 4-6",0.275816373617716
"313","Other ABX","Day 0-2",0.817027226415741
"314","No ABX","Day 4-6",0.331087661933098
"315","Other ABX","Day 4-6",0.0388837247954491
"316","Other ABX","Day 0-2",1.01140426470735
"317","Other ABX","Day 0-2",1.84736963057246
"318","No ABX","Day 0-2",1.83478434511891
"319","Other ABX","Day 0-2",0.703284390030979
"320","No ABX","Day 4-6",1.25679995635699
"321","Azithromycin","Day 0-2",1.7856603652023
"322","Azithromycin","Day 0-2",1.46883542780389
"323","No ABX","Day 0-2",0.796311640173813
"324","Azithromycin","Day 0-2",1.53574900574322
"325","Azithromycin","Day 0-2",1.90690946579757
"326","Azithromycin","Day 0-2",1.97045880159311
"327","Other ABX","Day 0-2",1.00987525975668
"328","No ABX","Day 0-2",1.7237546163556
"329","No ABX","Day 4-6",1.97482954198086
"330","Azithromycin","Day 0-2",2.0009343310031
"331","Other ABX","Day 4-6",1.15425476923557
"332","Azithromycin","Day 0-2",1.21353458321526
"333","Azithromycin","Day 0-2",1.72454516703041
"334","Other ABX","Day 0-2",1.32448306444704
"335","Other ABX","Day 0-2",0.48140352180652
"336","Azithromycin","Day 0-2",1.30301589439948
"337","Other ABX","Day 0-2",1.70410923234824
"338","No ABX","Day 0-2",1.64433566792216
"339","No ABX","Day 4-6",0.930626844107749
"340","No ABX","Day 0-2",0.692626798924835
