Predicted_celltype,CD45,GranzymeB,IgA,CD11b,IgM,CD69,IgG,CCR6,ICOS,CD123,CD19,CD4,CD8a,CD11c,CD16,CD45RO,CD45RA,CD161,CCR4,CD25,CD27,CD57,CXCR3,CXCR5,CD39,CD28,CD38,CD169,CD56,TCRgd,CD64,CD294,CCR7,CD14,CD71,CD3,CD20,CD66b,HLADR,IgD,PD-1,CD127,CD61,Tier1
CD4+ T Cell (EMRA CD57hi),7.02014063896181,3.8083068066217,0.749866478689682,0.377343179567191,0.777169084227978,0.114203254558287,1.20436667546151,0.734229058865048,0.964499463828051,0.511436652781705,2.42574021986262,5.29073433174554,1.53017537730384,0.193295892702573,0.583840778267041,0.507261869575751,6.44108031630961,2.10265612001088,0.236130467661944,0.323523179519562,0.294294997318109,7.18624129973,2.33910829126179,0.153593183219559,0.189577054663109,0.27760108387005,1.16219570726285,0.123598056791776,0.201349175159072,0.121135162869131,0.0984681853388907,1.58391927454977,0.268522447586316,0.335653975960798,0.17923376007007,6.00250147122597,1.85310516215967,0.550101288968465,1.61782104447426,0.188823132389798,0.872344158803821,1.59659996995203,0.580814713619202,CD8+ T Cell
CD4+ T Cell (naive),6.81646325812218,0.494352846623584,0.480757428276178,0.137022889748373,0.436132747592315,0.120978221339054,1.01813905047263,0.265885923109738,0.696889648057059,0.285006774766733,1.64087713493229,5.26215408463502,1.51209230066232,0.212177534431512,0.463227485469601,0.256048362178382,5.32902922102277,0.224567271113372,0.368496608794683,0.309227821354742,5.00594246609859,0.236200145142785,0.244586452449143,0.227260853092861,0.247446550653074,3.56971131551025,3.17209725359667,0.25196409861704,0.12934195710137,0.159647359708161,0.136331960977064,1.10515599364476,5.23678812270307,1.18995632332308,0.304288458535362,6.18910850691046,0.407164738575906,0.347618204144929,0.250857081097272,0.201072591366929,0.335307479713407,5.20627601455667,0.353673314940433,CD8+ T Cell
CD4+CD8+ T Cell,6.80909044660413,3.02316650848069,1.61179665956518,0.521180080324036,3.42182638522646,0.299736019221288,1.78542192544548,5.21093278352726,1.7126286000398,1.0984766249931,6.49460802604263,2.35382383635527,2.36437613682306,0.582951689469271,1.57911065967897,0.863328324419245,6.33412257031339,0.833652265322497,0.710622550601173,1.25953394274529,3.67898491647379,1.53388181670986,2.33669393240664,0.352177227330704,1.92913180644007,2.60197267778384,0.667982661819173,0.24209877960736,0.167485267951561,0.232678141026533,0.29407084277148,2.05460576576476,1.74157337758948,0.41688910959653,0.379796848844362,5.49630122820625,0.360129241841324,0.487065715667805,0.517782251374586,0.220095524453886,2.22494020232868,3.61921864431818,0.288848038485722,CD8+ T Cell
CD8+ NKT Cell,6.94989224464937,4.23596919671576,0.844980423135738,0.579880334587983,0.843239726576145,0.196875365806882,1.44938369484052,1.3921635815081,0.617685511846983,0.337055596969946,2.71401799077964,0.418891138255676,3.22552082890407,0.275784354016756,0.719674654322202,0.7425602924855,6.32986933279326,0.707166384330886,0.272912074122736,0.355011087015536,0.448546759660995,6.19985594821033,2.47635247614859,0.176225836314714,0.251397795616038,0.461392221048933,0.370196233330388,0.261021846297886,2.69072326045635,0.210208926925642,0.138829145677076,1.18675205489943,0.324577353256023,0.319034885627638,0.175708808326279,5.82002817835334,0.849567325564955,0.419104911774208,0.311018037314781,0.144619244956232,0.587251722001142,0.622022590591121,0.352521627032435,CD8+ T Cell
CD8+ T Cell (Activated),7.00966981890872,1.34190782136259,0.713646558712695,0.192884044247454,0.442839323473622,0.159780595531586,1.32670963032697,0.401750280296909,1.27810120942786,0.146784985037625,0.385927273061825,0.347182513986829,3.19860192472626,0.210174418856363,0.715760052919645,3.4871819335896,1.28750030159648,0.258896045129819,1.18883188097393,0.190810040387181,3.05391617242875,0.484863774042196,4.12964436194714,0.553794528303102,2.63775052413673,3.63375229875781,4.30514795419262,0.804100105502619,0.335107329851586,0.290291292780581,0.168417106222045,0.302851724624742,0.873787449031333,0.368972921229239,1.59007624743203,5.58446224048943,0.264854569643347,0.543463429517639,3.70867016594408,0.506023193026365,1.71814152466894,2.26325055108602,0.34906931729663,CD8+ T Cell
CD8+ T Cell (CD161+ MAIT),7.16565223321708,0.810546048911666,0.523242822767537,0.149377410934695,0.372949050869271,0.221479118285661,1.06543302487686,3.50737811366897,0.337170147649069,0.126300493743262,0.316149720491386,0.26044060750398,3.64009656205547,0.162727469244574,0.633073216581946,2.12592008713995,1.8872195024355,5.24496347398511,0.303855642152406,0.577444201234216,3.8059070580872,0.225418969660151,3.04152503479103,0.197720108936337,0.301829289907157,3.8668287046286,0.284115695181676,0.308379198619658,0.401763198916412,0.113124348033002,0.162976625488291,0.313414930539448,0.714279096922956,0.366143960661931,0.190006932996959,5.78718294742029,0.308647556138577,0.368699878563548,0.521522507624638,0.35142678481485,0.924408345605469,6.54883128669885,0.315617015450088,CD8+ T Cell
CD8+ T Cell (CM),6.98265850179701,0.568760426713428,0.598277289013698,0.155845860376808,0.321814334446134,0.153694365592649,1.17259602480609,0.457142888197659,0.476261996098293,0.106966650071884,0.305251263328456,0.250321666726153,3.50355643560081,0.184031064833025,0.595175738408912,2.95311025238825,1.01154898143149,0.259033965004299,1.1900944177599,0.416852613499718,4.16425453605531,0.342051343909231,4.34955953944781,0.332945661370153,0.417314350185755,3.44492022549529,0.392375925056411,0.296855540700202,0.0884128699659081,0.127478914479644,0.1680226550132,0.40756977962123,2.7438670913274,0.441539869721646,0.29631337477798,5.3256564850248,0.321043778696572,0.400005766434728,0.501144856964007,0.245125809825294,0.915122889867677,5.56061634617068,0.360239748334773,CD8+ T Cell
CD8+ T Cell (EM CD27hi),6.99471111387507,1.6187525604133,0.578351939045273,0.175175834621815,0.362953474977955,0.126023018769202,1.14998781181463,0.387870969916037,0.455493046143428,0.10281111291491,0.321120901813197,0.246223032842811,2.9954920692009,0.194024945194184,0.541221814103299,3.87507494162393,1.08471831893139,0.347889638314982,0.693408526583903,0.135996127915185,4.25652312197067,0.542573880083417,3.85060313904242,0.359579465173588,0.416932030063768,2.88634932518293,0.754241543555953,0.335471796364203,0.116361952872761,0.135211729955652,0.186080238666729,0.260824591219214,0.629081535793597,0.306996735142606,0.252786894168788,5.36715320627207,0.409421596338186,0.429198106962714,1.40552206457502,0.226118232459521,1.83861969401949,3.41778189957457,0.472851518772135,CD8+ T Cell
CD8+ T Cell (EM CD27low),6.85239542155629,1.08529658114912,0.553587018704352,0.203379557572939,0.316398602453636,0.128887928767478,1.2588209707366,0.512933603175255,0.391811773479398,0.119609203155695,0.370489479705845,0.225688798372239,3.5772377836162,0.187535209766496,0.486444151873661,3.17647936309382,1.21481761747034,0.28737478200556,0.426090138153295,0.303972719631547,0.533411899360801,0.335628905890041,3.88764209414006,0.22850130110794,0.367460395121201,2.67236142464568,0.245933573896,0.33567010684409,0.168378592886838,0.121383908360649,0.173392905216836,0.315983012572153,0.574143389571811,0.279499454053949,0.259563543373728,5.14479686179689,0.343119245044699,0.365522039590846,0.506171108158911,0.225721111401073,1.00452366670645,5.44637590762762,0.506632239607364,CD8+ T Cell
CD8+ T Cell (EM CD57hi),7.05937432127614,3.4838294524619,0.764423821758765,0.330976089985256,0.420850764219837,0.141906298433458,1.23951535965024,0.545224559124296,0.427673932697496,0.119826310450622,0.743107098387085,0.245712640528421,3.62666509278207,0.200368499531599,0.54082452760632,4.05454590396749,1.84833238625674,0.383338472961523,0.424695110560523,0.160996109226206,3.53455482763521,5.57358446789728,2.7545292041309,0.256614274571099,0.249686370274257,0.971282079505418,0.538921024375143,0.315093071924969,0.17755011573692,0.125370701846236,0.178945428207636,0.26518614418546,0.37476600066671,0.325166648873811,0.223328067221601,5.68148440649568,0.926322459753394,0.452830512567837,0.971287735124734,0.186232381782811,1.6821586636779,2.124750721047,0.52922031664848,CD8+ T Cell
