Module (or Feature),Analysis,P value,Q value,Direction
globalmet.globalmet_mod27,Visit 1 analysis - 3|4,0.169714498648281,0.35203287888640583,Mild
globalmet.globalmet_mod27,Visit 1 analysis - 3|5,0.015663529240057962,0.0683488811716983,Severe
globalmet.globalmet_mod27,Visit 1 analysis - 4|5,0.025548485759282726,0.09666994611620491,Severe
globalmet.globalmet_mod28,Visit 1 analysis - 1|2,0.7544888433927754,0.8716708357917978,Severe
globalmet.globalmet_mod28,Visit 1 analysis - 1|3,0.07722297510550448,0.2052762629386828,Severe
globalmet.globalmet_mod28,Visit 1 analysis - 1|4,0.17127237594294828,0.35203287888640583,Severe
globalmet.globalmet_mod28,Visit 1 analysis - 1|5,0.18197015236587588,0.36167810109365717,Severe
globalmet.globalmet_mod28,Visit 1 analysis - 2|3,0.11738030392741874,0.27131280286607773,Severe
globalmet.globalmet_mod28,Visit 1 analysis - 2|4,0.10909859570796435,0.2559855318287432,Severe
globalmet.globalmet_mod28,Visit 1 analysis - 2|5,0.21363915028762528,0.393545803161415,Severe
globalmet.globalmet_mod28,Visit 1 analysis - 3|4,0.9920985697224421,0.9920985697224421,Mild
globalmet.globalmet_mod28,Visit 1 analysis - 3|5,0.6723337667557676,0.8199157415167044,Severe
globalmet.globalmet_mod28,Visit 1 analysis - 4|5,0.4114805145712175,0.6085275215489836,Severe
globalmet.globalmet_mod29,Visit 1 analysis - 1|2,0.5333654372233957,0.7150962951597771,Severe
globalmet.globalmet_mod29,Visit 1 analysis - 1|3,0.7856282481928245,0.8893904696522542,Severe
globalmet.globalmet_mod29,Visit 1 analysis - 1|4,0.1081033573346485,0.2559855318287432,Severe
globalmet.globalmet_mod29,Visit 1 analysis - 1|5,7.450660665818869e-4,0.0056895954175344085,Severe
globalmet.globalmet_mod29,Visit 1 analysis - 2|3,0.9650686268937267,0.97837339167069,Mild
globalmet.globalmet_mod29,Visit 1 analysis - 2|4,0.08686096615601635,0.2175302557147344,Severe
globalmet.globalmet_mod29,Visit 1 analysis - 2|5,9.572864949566208e-5,0.0011825303761228846,Severe
globalmet.globalmet_mod29,Visit 1 analysis - 3|4,0.03469916498667731,0.11435984585844938,Severe
globalmet.globalmet_mod29,Visit 1 analysis - 3|5,1.3399199631092363e-4,0.0015209902283942682,Severe
