"Module","Analysis","P value","Q value","Direction"
"mod25","Longitudinal analysis - overall shape",0.000105483269285429,0.000448303894463073,"Mild"
"mod25","Longitudinal analysis - overall average",1.05749563114305e-11,2.99623762157199e-11,"Mild"
"mod26","Longitudinal analysis - overall shape",0.0450420435753092,0.0765714740780256,"Mild"
"mod27","Longitudinal analysis - overall shape",0.0100014722936807,0.0226700038656763,"Mild"
"mod27","Longitudinal analysis - overall average",0.0265123798086761,0.0360568365397995,"Severe"
"mod29","Longitudinal analysis - overall average",4.53665660268816e-18,3.08492648982795e-17,"Severe"
"mod3","Longitudinal analysis - overall shape",0.0150732448380829,0.0320163503310199,"Mild"
"mod3","Longitudinal analysis - overall average",3.3255699121322e-14,1.25632641124994e-13,"Mild"
"mod30","Longitudinal analysis - overall shape",6.04517335724812e-05,0.00029362270592348,"Severe"
"mod30","Longitudinal analysis - overall average",9.03657456795657e-23,1.02414511770174e-21,"Severe"
"mod31","Longitudinal analysis - overall average",0.00664995143553772,0.00942076453367844,"Severe"
"mod32","Longitudinal analysis - overall average",0.00197388008853015,0.00291790969608805,"Severe"
"mod4","Longitudinal analysis - overall shape",0.00255725880047811,0.00869467992162556,"Mild"
"mod4","Longitudinal analysis - overall average",1.18227009808231e-12,4.01971833347985e-12,"Mild"
"mod6","Longitudinal analysis - overall shape",0.0160081751655099,0.0320163503310199,"Mild"
"mod6","Longitudinal analysis - overall average",1.43366907782624e-14,6.96353552087032e-14,"Mild"
"mod7","Longitudinal analysis - overall shape",0.00605646632197864,0.0187199868133885,"Severe"
"mod7","Longitudinal analysis - overall average",0.000248639329668853,0.000444933537302158,"Severe"
"mod8","Longitudinal analysis - overall shape",0.017266789289831,0.0326150464363475,"Mild"
"mod8","Longitudinal analysis - overall average",3.34238169233376e-10,7.57606516928986e-10,"Mild"
"mod9","Longitudinal analysis - overall shape",2.35878747991454e-08,2.67329247723647e-07,"Severe"
"mod9","Longitudinal analysis - overall average",5.50969790692444e-16,3.12216214725718e-15,"Severe"
"mod1","Longitudinal analysis - 1|2 average",0.00143602669208024,0.010614110332767,"Mild"
"mod1","Longitudinal analysis - 1|3 average",1.65386291137125e-05,0.000234297245777593,"Mild"
"mod1","Longitudinal analysis - 1|4 average",2.91837158484247e-14,7.44184754134831e-12,"Mild"
"mod1","Longitudinal analysis - 1|5 average",4.75936351550161e-16,4.85455078581164e-13,"Mild"
"mod1","Longitudinal analysis - 1|5 shape",9.17779306687772e-07,3.46716626970936e-05,"Mild"
