Module,Feature
mod0,ENSG00000124406
mod0,ENSG00000124422
mod0,ENSG00000124496
mod0,ENSG00000124508
mod0,ENSG00000124575
mod0,ENSG00000124587
mod0,ENSG00000124593
mod0,ENSG00000124596
mod0,ENSG00000124610
mod0,ENSG00000124701
mod0,ENSG00000124702
mod0,ENSG00000124802
mod0,ENSG00000125107
mod0,ENSG00000125144
mod0,ENSG00000125434
mod0,ENSG00000125447
mod0,ENSG00000125482
mod0,ENSG00000125618
mod0,ENSG00000125637
mod0,ENSG00000125650
mod0,ENSG00000125651
mod0,ENSG00000125740
mod0,ENSG00000125746
mod0,ENSG00000125755
mod0,ENSG00000125814
mod0,ENSG00000126010
mod0,ENSG00000126106
mod0,ENSG00000126215
mod0,ENSG00000126231
mod0,ENSG00000126351
mod0,ENSG00000126460
mod0,ENSG00000126461
mod0,ENSG00000126653
mod0,ENSG00000126746
mod0,ENSG00000126773
mod0,ENSG00000126947
mod0,ENSG00000127080
mod0,ENSG00000127083
mod0,ENSG00000127337
mod0,ENSG00000127481
mod0,ENSG00000127483
mod0,ENSG00000127528
mod0,ENSG00000127870
mod0,ENSG00000127955
mod0,ENSG00000128253
mod0,ENSG00000128268
mod0,ENSG00000128274
mod0,ENSG00000128283
mod0,ENSG00000128298
mod0,ENSG00000128342
mod0,ENSG00000128482
mod0,ENSG00000128595
mod0,ENSG00000128607
mod0,ENSG00000128617
mod0,ENSG00000128833
mod0,ENSG00000128872
mod0,ENSG00000128881
mod0,ENSG00000129534
mod0,ENSG00000129535
mod0,ENSG00000129596
mod0,ENSG00000129646
mod0,ENSG00000129675
mod0,ENSG00000129696
mod0,ENSG00000129824
mod0,ENSG00000129990
mod0,ENSG00000129993
mod0,ENSG00000130038
mod0,ENSG00000130119
mod0,ENSG00000130182
mod0,ENSG00000130203
mod0,ENSG00000130244
mod0,ENSG00000130396
mod0,ENSG00000130508
mod0,ENSG00000130517
mod0,ENSG00000130544
mod0,ENSG00000130695
mod0,ENSG00000130717
mod0,ENSG00000130943
mod0,ENSG00000130962
mod0,ENSG00000131018
mod0,ENSG00000131019
mod0,ENSG00000131080
mod0,ENSG00000131097
mod0,ENSG00000131183
mod0,ENSG00000131351
mod0,ENSG00000131370
mod0,ENSG00000131374
mod0,ENSG00000131558
mod0,ENSG00000131584
mod0,ENSG00000131697
mod0,ENSG00000131778
mod0,ENSG00000131791
mod0,ENSG00000131899
mod0,ENSG00000131944
mod0,ENSG00000132000
mod0,ENSG00000132017
mod0,ENSG00000132024
mod0,ENSG00000132141
mod0,ENSG00000132275
mod0,ENSG00000132386
mod0,ENSG00000132434
mod0,ENSG00000132507
mod0,ENSG00000132535
mod0,ENSG00000132541
mod0,ENSG00000132570
mod0,ENSG00000132591
mod0,ENSG00000132613
mod0,ENSG00000132681
mod0,ENSG00000132716
mod0,ENSG00000132740
mod0,ENSG00000132837
mod0,ENSG00000132874
mod0,ENSG00000132881
mod0,ENSG00000132915
mod0,ENSG00000132972
mod0,ENSG00000133019
mod0,ENSG00000133247
mod0,ENSG00000133454
mod0,ENSG00000133657
mod0,ENSG00000133687
mod0,ENSG00000133731
mod0,ENSG00000133789
mod0,ENSG00000133858
mod0,ENSG00000133943
mod0,ENSG00000133958
mod0,ENSG00000134153
mod0,ENSG00000134184
mod0,ENSG00000134202
mod0,ENSG00000134253
mod0,ENSG00000134318
mod0,ENSG00000134352
mod0,ENSG00000134369
mod0,ENSG00000134444
mod0,ENSG00000134452
mod0,ENSG00000134594
mod0,ENSG00000134769
mod0,ENSG00000134809
mod0,ENSG00000134824
mod0,ENSG00000134871
mod0,ENSG00000134962
mod0,ENSG00000135269
mod0,ENSG00000135298
mod0,ENSG00000135392
mod0,ENSG00000135437
mod0,ENSG00000135452
mod0,ENSG00000135482
mod0,ENSG00000135519
mod0,ENSG00000135537
mod0,ENSG00000135540
mod0,ENSG00000135587
mod0,ENSG00000135625
mod0,ENSG00000135801
mod0,ENSG00000135837
mod0,ENSG00000135914
mod0,ENSG00000135929
mod0,ENSG00000135951
mod0,ENSG00000135966
mod0,ENSG00000136144
mod0,ENSG00000136206
mod0,ENSG00000136235
mod0,ENSG00000136379
mod0,ENSG00000136381
mod0,ENSG00000136720
mod0,ENSG00000136738
mod0,ENSG00000136813
mod0,ENSG00000136828
mod0,ENSG00000136848
mod0,ENSG00000136854
mod0,ENSG00000136861
mod0,ENSG00000136874
mod0,ENSG00000136940
mod0,ENSG00000136986
mod0,ENSG00000137073
mod0,ENSG00000137094
mod0,ENSG00000137185
mod0,ENSG00000137210
mod0,ENSG00000137275
mod0,ENSG00000137285
mod0,ENSG00000137413
mod0,ENSG00000137434
mod0,ENSG00000137494
mod0,ENSG00000137709
mod0,ENSG00000137710
mod0,ENSG00000137834
mod0,ENSG00000137871
mod0,ENSG00000137968
mod0,ENSG00000138028
mod0,ENSG00000138131
mod0,ENSG00000138135
mod0,ENSG00000138182
mod0,ENSG00000138286
mod0,ENSG00000138381
mod0,ENSG00000138398
mod0,ENSG00000138615
mod0,ENSG00000138617
mod0,ENSG00000138623
mod0,ENSG00000138640
mod0,ENSG00000138755
mod0,ENSG00000138942
mod0,ENSG00000139055
mod0,ENSG00000139174
mod0,ENSG00000139190
mod0,ENSG00000139192
mod0,ENSG00000139344
mod0,ENSG00000139350
mod0,ENSG00000139354
mod0,ENSG00000139437
mod0,ENSG00000139438
mod0,ENSG00000139514
mod0,ENSG00000139610
mod0,ENSG00000139636
mod0,ENSG00000139726
mod0,ENSG00000139908
mod0,ENSG00000139914
mod0,ENSG00000139926
mod0,ENSG00000139977
mod0,ENSG00000139988
mod0,ENSG00000140265
mod0,ENSG00000140323
mod0,ENSG00000140386
mod0,ENSG00000140398
mod0,ENSG00000140548
mod0,ENSG00000140691
mod0,ENSG00000140829
mod0,ENSG00000140876
mod0,ENSG00000140931
mod0,ENSG00000140945
mod0,ENSG00000140987
mod0,ENSG00000141013
mod0,ENSG00000141252
mod0,ENSG00000141294
mod0,ENSG00000141376
mod0,ENSG00000141425
mod0,ENSG00000141441
mod0,ENSG00000141449
mod0,ENSG00000141499
mod0,ENSG00000141519
mod0,ENSG00000141527
mod0,ENSG00000141568
mod0,ENSG00000141579
mod0,ENSG00000141646
mod0,ENSG00000141655
mod0,ENSG00000141699
mod0,ENSG00000141744
mod0,ENSG00000141858
mod0,ENSG00000141965
mod0,ENSG00000142082
mod0,ENSG00000142178
mod0,ENSG00000142208
mod0,ENSG00000142396
mod0,ENSG00000142459
mod0,ENSG00000142494
mod0,ENSG00000142513
mod0,ENSG00000142751
mod0,ENSG00000142765
mod0,ENSG00000142794
mod0,ENSG00000142864
mod0,ENSG00000142892
mod0,ENSG00000143061
mod0,ENSG00000143093
mod0,ENSG00000143147
mod0,ENSG00000143157
mod0,ENSG00000143217
mod0,ENSG00000143318
mod0,ENSG00000143322
mod0,ENSG00000143333
mod0,ENSG00000143379
mod0,ENSG00000143393
mod0,ENSG00000143398
mod0,ENSG00000143442
mod0,ENSG00000143552
mod0,ENSG00000143569
mod0,ENSG00000143643
mod0,ENSG00000143674
mod0,ENSG00000143776
mod0,ENSG00000143850
mod0,ENSG00000143851
mod0,ENSG00000143919
mod0,ENSG00000143970
mod0,ENSG00000144031
mod0,ENSG00000144043
mod0,ENSG00000144048
mod0,ENSG00000144115
mod0,ENSG00000144214
mod0,ENSG00000144233
mod0,ENSG00000144357
mod0,ENSG00000144369
mod0,ENSG00000144426
mod0,ENSG00000144476
mod0,ENSG00000144550
mod0,ENSG00000144647
mod0,ENSG00000144648
mod0,ENSG00000144681
mod0,ENSG00000144792
mod0,ENSG00000144852
mod0,ENSG00000145216
mod0,ENSG00000145687
mod0,ENSG00000145715
mod0,ENSG00000145736
mod0,ENSG00000145882
mod0,ENSG00000145916
mod0,ENSG00000145949
mod0,ENSG00000146006
mod0,ENSG00000146242
mod0,ENSG00000146453
mod0,ENSG00000146530
mod0,ENSG00000146574
mod0,ENSG00000146707
mod0,ENSG00000146733
mod0,ENSG00000146809
mod0,ENSG00000147118
mod0,ENSG00000147119
mod0,ENSG00000147166
mod0,ENSG00000147168
mod0,ENSG00000147174
mod0,ENSG00000147421
mod0,ENSG00000147437
mod0,ENSG00000147485
mod0,ENSG00000147570
mod0,ENSG00000147647
mod0,ENSG00000147804
mod0,ENSG00000147853
mod0,ENSG00000147996
mod0,ENSG00000148057
mod0,ENSG00000148204
mod0,ENSG00000148225
mod0,ENSG00000148339
mod0,ENSG00000148396
mod0,ENSG00000148429
mod0,ENSG00000148483
mod0,ENSG00000148700
mod0,ENSG00000148935
mod0,ENSG00000148943
mod0,ENSG00000149091
mod0,ENSG00000149187
mod0,ENSG00000149256
mod0,ENSG00000149346
mod0,ENSG00000149403
mod0,ENSG00000149476
mod0,ENSG00000149573
mod0,ENSG00000149657
mod0,ENSG00000149679
mod0,ENSG00000149922
mod0,ENSG00000149927
mod0,ENSG00000149930
mod0,ENSG00000150401
mod0,ENSG00000150510
mod0,ENSG00000150527
mod0,ENSG00000150667
mod0,ENSG00000150712
mod0,ENSG00000150764
mod0,ENSG00000151116
mod0,ENSG00000151164
mod0,ENSG00000151229
mod0,ENSG00000151233
mod0,ENSG00000151458
mod0,ENSG00000151657
mod0,ENSG00000151692
mod0,ENSG00000151923
mod0,ENSG00000152061
mod0,ENSG00000152102
mod0,ENSG00000152127
mod0,ENSG00000152256
mod0,ENSG00000152270
mod0,ENSG00000152332
mod0,ENSG00000152348
mod0,ENSG00000152433
mod0,ENSG00000152457
mod0,ENSG00000152601
mod0,ENSG00000152683
mod0,ENSG00000152689
mod0,ENSG00000152705
mod0,ENSG00000152763
mod0,ENSG00000152767
mod0,ENSG00000152782
mod0,ENSG00000152784
mod0,ENSG00000152939
mod0,ENSG00000153006
mod0,ENSG00000153012
mod0,ENSG00000153037
mod0,ENSG00000153046
mod0,ENSG00000153132
mod0,ENSG00000153291
mod0,ENSG00000153391
mod0,ENSG00000153395
mod0,ENSG00000153495
mod0,ENSG00000153558
mod0,ENSG00000153774
mod0,ENSG00000153936
mod0,ENSG00000153975
mod0,ENSG00000154059
mod0,ENSG00000154079
mod0,ENSG00000154099
mod0,ENSG00000154262
mod0,ENSG00000154265
mod0,ENSG00000154479
mod0,ENSG00000154620
mod0,ENSG00000154642
mod0,ENSG00000154655
mod0,ENSG00000154760
mod0,ENSG00000154914
mod0,ENSG00000154978
mod0,ENSG00000155008
mod0,ENSG00000155085
mod0,ENSG00000155256
mod0,ENSG00000155304
mod0,ENSG00000155329
mod0,ENSG00000155380
mod0,ENSG00000155506
mod0,ENSG00000155530
mod0,ENSG00000155542
mod0,ENSG00000155719
