"","Clinical Variable","Rate of Clinical Event in Virus Negative Participants","Rate of Clinical Event in Virus Positive Participants","Percent Difference","virus"
"1","comorb_htn","55.8% (509/912)","71.6% (136/190)",15.8,"Anelloviridae.pbmc"
"2","comorb_isaric_dm","35.7% (326/912)","43.2% (82/190)",7.4,"Anelloviridae.pbmc"
"3","comorb_anyresp_noasthma","20.2% (184/912)","22.1% (42/190)",1.9,"Anelloviridae.pbmc"
"4","comorb_isaric_asthma","15% (137/912)","14.7% (28/190)",-0.3,"Anelloviridae.pbmc"
"5","comorb_isaric_cardiac","25.9% (236/912)","32.6% (62/190)",6.8,"Anelloviridae.pbmc"
"6","comorb_isaric_ckd","13.5% (123/912)","23.2% (44/190)",9.7,"Anelloviridae.pbmc"
"7","comorb_isaric_neoplasm","9% (82/912)","11.6% (22/190)",2.6,"Anelloviridae.pbmc"
"8","comorb_neuro","12% (109/912)","14.2% (27/190)",2.3,"Anelloviridae.pbmc"
"9","comorb_isaric_liver","4.3% (39/912)","8.4% (16/190)",4.1,"Anelloviridae.pbmc"
"10","comorb_hxtrans","4.1% (37/912)","14.7% (28/190)",10.7,"Anelloviridae.pbmc"
"11","comorb_hiv2","1.6% (15/912)","2.6% (5/190)",1,"Anelloviridae.pbmc"
"12","comorb_eversmkvape","31.9% (291/912)","33.7% (64/190)",1.8,"Anelloviridae.pbmc"
"13","comorb_anysubstance","7.6% (69/912)","6.8% (13/190)",-0.7,"Anelloviridae.pbmc"
"14","comorb_count","15.6% (142/912)","5.8% (11/190)",-9.8,"Anelloviridae.pbmc"
"15","comorb_countcat","15.6% (142/912)","5.8% (11/190)",-9.8,"Anelloviridae.pbmc"
"16","timesymptomcat","19.1% (174/912)","28.9% (55/190)",9.9,"Anelloviridae.pbmc"
"17","symptom_allresp","87.4% (797/912)","83.2% (158/190)",-4.2,"Anelloviridae.pbmc"
"18","symptom_cough","61.6% (562/912)","55.8% (106/190)",-5.8,"Anelloviridae.pbmc"
"19","symptom_cough_prod","13.5% (123/912)","16.8% (32/190)",3.4,"Anelloviridae.pbmc"
"20","symptom_haemoptysis","2.3% (21/912)","2.1% (4/190)",-0.2,"Anelloviridae.pbmc"
"21","symptom_sorethroat","8.9% (81/912)","7.4% (14/190)",-1.5,"Anelloviridae.pbmc"
"22","symptom_rhinorrhea","4.8% (44/912)","4.2% (8/190)",-0.6,"Anelloviridae.pbmc"
"23","symptom_wheeze","5% (46/912)","6.3% (12/190)",1.3,"Anelloviridae.pbmc"
"24","symptom_chestpain","20.2% (184/912)","16.8% (32/190)",-3.3,"Anelloviridae.pbmc"
"25","symptom_dyspnea","73% (666/912)","67.9% (129/190)",-5.1,"Anelloviridae.pbmc"
"26","symptom_chestwall","0.1% (1/910)","0% (0/190)",-0.1,"Anelloviridae.pbmc"
"27","symptom_earpain","0.2% (2/912)","0.5% (1/190)",0.3,"Anelloviridae.pbmc"
"28","symptom_conjunctivitis","0.2% (2/912)","0% (0/190)",-0.2,"Anelloviridae.pbmc"
"29","symptom_allsyst","72.4% (660/912)","67.9% (129/190)",-4.5,"Anelloviridae.pbmc"
"30","symptom_fever","49.7% (453/912)","45.8% (87/190)",-3.9,"Anelloviridae.pbmc"
"31","symptom_chills","25.2% (230/912)","21.1% (40/190)",-4.2,"Anelloviridae.pbmc"
"32","symptom_shaking","1.3% (12/911)","0.5% (1/190)",-0.8,"Anelloviridae.pbmc"
"33","symptom_fatigue","41.8% (381/912)","38.4% (73/190)",-3.4,"Anelloviridae.pbmc"
"34","symptom_myalgia","24.5% (223/912)","18.9% (36/190)",-5.5,"Anelloviridae.pbmc"
"35","symptom_lymphadenopathy","0.3% (3/912)","1.1% (2/190)",0.7,"Anelloviridae.pbmc"
"36","symptom_allneuro","30.6% (279/912)","29.5% (56/190)",-1.1,"Anelloviridae.pbmc"
"37","symptom_headache","17.9% (163/912)","14.7% (28/190)",-3.1,"Anelloviridae.pbmc"
"38","symptom_confusion","4.9% (45/912)","6.8% (13/190)",1.9,"Anelloviridae.pbmc"
"39","symptom_seizure","0.3% (3/912)","0% (0/190)",-0.3,"Anelloviridae.pbmc"
"40","symptom_syncope","1.9% (17/912)","0.5% (1/190)",-1.3,"Anelloviridae.pbmc"
"41","symptom_anosmia","10.1% (92/912)","10% (19/190)",-0.1,"Anelloviridae.pbmc"
"42","symptom_allGI","39.8% (363/912)","33.7% (64/190)",-6.1,"Anelloviridae.pbmc"
"43","symptom_abdpain","9.5% (87/912)","12.6% (24/190)",3.1,"Anelloviridae.pbmc"
"44","symptom_nausea","23.1% (211/912)","16.8% (32/190)",-6.3,"Anelloviridae.pbmc"
"45","symptom_diarrhea","23% (210/912)","16.3% (31/190)",-6.7,"Anelloviridae.pbmc"
"46","symptom_allderm","1.2% (11/912)","1.1% (2/190)",-0.2,"Anelloviridae.pbmc"
"47","symptom_skinrash","1% (9/912)","0.5% (1/190)",-0.5,"Anelloviridae.pbmc"
"48","symptom_skinulcer","0.2% (2/912)","0.5% (1/190)",0.3,"Anelloviridae.pbmc"
"49","symptom_allother","8.1% (74/912)","8.9% (17/190)",0.8,"Anelloviridae.pbmc"
"50","symptom_arthralgia","3.4% (31/912)","3.7% (7/190)",0.3,"Anelloviridae.pbmc"
"51","symptom_edema","2.6% (24/912)","3.2% (6/190)",0.5,"Anelloviridae.pbmc"
"52","symptom_nonamb","2.3% (21/912)","1.6% (3/190)",-0.7,"Anelloviridae.pbmc"
"53","symptom_bleeding","0.2% (2/912)","1.1% (2/190)",0.8,"Anelloviridae.pbmc"
"54","ever_ever_esc","13.2% (120/912)","28.4% (54/190)",15.3,"Anelloviridae.pbmc"
"55","ever_icu","32.5% (296/912)","54.7% (104/190)",22.3,"Anelloviridae.pbmc"
"56","diedever","12.8% (117/912)","21.6% (41/190)",8.8,"Anelloviridae.pbmc"
"57","ever_remdes","62.2% (567/912)","63.2% (120/190)",1,"Anelloviridae.pbmc"
"58","ever_steroids","68.2% (622/912)","70.5% (134/190)",2.3,"Anelloviridae.pbmc"
"59","ever_azithro","32% (292/912)","34.7% (66/190)",2.7,"Anelloviridae.pbmc"
"60","ever_otherabx","55.4% (505/912)","70% (133/190)",14.6,"Anelloviridae.pbmc"
"61","ever_conplas","7.9% (72/912)","6.8% (13/190)",-1.1,"Anelloviridae.pbmc"
"62","ever_monoclonal","0.4% (4/912)","0.5% (1/190)",0.1,"Anelloviridae.pbmc"
"63","ever_immsupp","4.7% (43/912)","17.4% (33/190)",12.7,"Anelloviridae.pbmc"
"64","anycomp","85.1% (776/912)","91.1% (173/190)",6,"Anelloviridae.pbmc"
"65","ncomp","18.6% (170/912)","14.2% (27/190)",-4.4,"Anelloviridae.pbmc"
"66","comp_seizure","0.2% (2/912)","1.6% (3/190)",1.4,"Anelloviridae.pbmc"
"67","comp_meningitis","1.1% (10/912)","1.1% (2/190)",0,"Anelloviridae.pbmc"
"68","comp_stroke","1.3% (12/912)","4.2% (8/190)",2.9,"Anelloviridae.pbmc"
"69","comp_afib","7.3% (67/912)","7.9% (15/190)",0.5,"Anelloviridae.pbmc"
"70","comp_ventricular_arr","2.7% (25/912)","7.4% (14/190)",4.6,"Anelloviridae.pbmc"
"71","comp_endo","0.1% (1/912)","0% (0/190)",-0.1,"Anelloviridae.pbmc"
"72","comp_myocard","0.5% (5/912)","0% (0/190)",-0.5,"Anelloviridae.pbmc"
"73","comp_cardarrest","3% (27/912)","6.3% (12/190)",3.4,"Anelloviridae.pbmc"
"74","comp_stemi","0.7% (6/912)","3.7% (7/190)",3,"Anelloviridae.pbmc"
"75","comp_nstemi","2.7% (25/912)","2.6% (5/190)",-0.1,"Anelloviridae.pbmc"
"76","comp_chf","6.7% (61/912)","8.4% (16/190)",1.7,"Anelloviridae.pbmc"
"77","comp_pneumonia","67.9% (619/912)","69.5% (132/190)",1.6,"Anelloviridae.pbmc"
"78","comp_bronch","0.5% (5/912)","0.5% (1/190)",0,"Anelloviridae.pbmc"
"79","comp_pneumo","2.4% (22/912)","3.7% (7/190)",1.3,"Anelloviridae.pbmc"
"80","comp_pneumomed","1.2% (11/912)","0.5% (1/190)",-0.7,"Anelloviridae.pbmc"
"81","comp_aat","0.8% (7/912)","1.6% (3/190)",0.8,"Anelloviridae.pbmc"
"82","comp_avthromb","7% (64/912)","7.4% (14/190)",0.4,"Anelloviridae.pbmc"
"83","comp_shock","12.9% (118/912)","27.9% (53/190)",15,"Anelloviridae.pbmc"
"84","comp_bac","10.7% (98/912)","18.4% (35/190)",7.7,"Anelloviridae.pbmc"
"85","comp_coag","3.6% (33/912)","3.7% (7/190)",0.1,"Anelloviridae.pbmc"
"86","comp_hypogly","1.3% (12/912)","1.6% (3/190)",0.3,"Anelloviridae.pbmc"
"87","comp_bleed","5.7% (52/912)","6.3% (12/190)",0.6,"Anelloviridae.pbmc"
"88","comp_anemia","12.9% (118/912)","20.5% (39/190)",7.6,"Anelloviridae.pbmc"
"89","comp_pancreas","0.7% (6/912)","0% (0/190)",-0.7,"Anelloviridae.pbmc"
"90","comp_renal","20.3% (185/912)","31.6% (60/190)",11.3,"Anelloviridae.pbmc"
"91","comp_liver","12.5% (114/912)","10% (19/190)",-2.5,"Anelloviridae.pbmc"
"92","comp_othlab","3.6% (33/912)","7.4% (14/190)",3.7,"Anelloviridae.pbmc"
"93","comp_electrolyte","3.7% (34/912)","4.2% (8/190)",0.5,"Anelloviridae.pbmc"
"94","comp_othinf","2.4% (22/912)","6.3% (12/190)",3.9,"Anelloviridae.pbmc"
"95","comp_othpulm","0.1% (1/912)","0% (0/190)",-0.1,"Anelloviridae.pbmc"
"96","comp_unddisease","1.2% (11/912)","2.1% (4/190)",0.9,"Anelloviridae.pbmc"
"97","comp_enceph","2% (18/912)","4.2% (8/190)",2.2,"Anelloviridae.pbmc"
"98","comp_othneuro","0.5% (5/912)","1.1% (2/190)",0.5,"Anelloviridae.pbmc"
"99","comp_hypergly","4.3% (39/912)","4.7% (9/190)",0.5,"Anelloviridae.pbmc"
"100","comp_psych","0.3% (3/912)","0% (0/190)",-0.3,"Anelloviridae.pbmc"
"101","comp_gastroent","1.3% (12/912)","0% (0/190)",-1.3,"Anelloviridae.pbmc"
"102","comp_pulmvas","0.1% (1/912)","0.5% (1/190)",0.4,"Anelloviridae.pbmc"
"103","comp_other2","2% (18/912)","2.1% (4/190)",0.1,"Anelloviridae.pbmc"
"104","comorb_htn","58% (568/980)","50% (25/50)",-8,"Enterovirus.nasal"
"105","comorb_isaric_dm","37% (363/980)","42% (21/50)",5,"Enterovirus.nasal"
"106","comorb_anyresp_noasthma","19.9% (195/980)","24% (12/50)",4.1,"Enterovirus.nasal"
"107","comorb_isaric_asthma","14.7% (144/980)","12% (6/50)",-2.7,"Enterovirus.nasal"
"108","comorb_isaric_cardiac","27.6% (270/980)","24% (12/50)",-3.6,"Enterovirus.nasal"
"109","comorb_isaric_ckd","15.7% (154/980)","4% (2/50)",-11.7,"Enterovirus.nasal"
"110","comorb_isaric_neoplasm","10% (98/980)","8% (4/50)",-2,"Enterovirus.nasal"
"111","comorb_neuro","12% (118/980)","10% (5/50)",-2,"Enterovirus.nasal"
"112","comorb_isaric_liver","5.1% (50/980)","2% (1/50)",-3.1,"Enterovirus.nasal"
"113","comorb_hxtrans","5.8% (57/980)","2% (1/50)",-3.8,"Enterovirus.nasal"
"114","comorb_hiv2","1.2% (12/980)","2% (1/50)",0.8,"Enterovirus.nasal"
"115","comorb_eversmkvape","32.2% (316/980)","34% (17/50)",1.8,"Enterovirus.nasal"
"116","comorb_anysubstance","7.2% (71/980)","6% (3/50)",-1.2,"Enterovirus.nasal"
"117","comorb_count","14.3% (140/980)","16% (8/50)",1.7,"Enterovirus.nasal"
"118","comorb_countcat","14.3% (140/980)","16% (8/50)",1.7,"Enterovirus.nasal"
"119","timesymptomcat","20.6% (202/980)","20% (10/50)",-0.6,"Enterovirus.nasal"
"120","symptom_allresp","86.6% (849/980)","92% (46/50)",5.4,"Enterovirus.nasal"
"121","symptom_cough","60.3% (591/980)","66% (33/50)",5.7,"Enterovirus.nasal"
"122","symptom_cough_prod","14.5% (142/980)","14% (7/50)",-0.5,"Enterovirus.nasal"
"123","symptom_haemoptysis","2.1% (21/980)","0% (0/50)",-2.1,"Enterovirus.nasal"
"124","symptom_sorethroat","8.4% (82/980)","4% (2/50)",-4.4,"Enterovirus.nasal"
"125","symptom_rhinorrhea","5% (49/980)","8% (4/50)",3,"Enterovirus.nasal"
"126","symptom_wheeze","4.8% (47/980)","10% (5/50)",5.2,"Enterovirus.nasal"
"127","symptom_chestpain","19% (186/980)","28% (14/50)",9,"Enterovirus.nasal"
"128","symptom_dyspnea","71.4% (700/980)","76% (38/50)",4.6,"Enterovirus.nasal"
"129","symptom_chestwall","0.1% (1/978)","0% (0/50)",-0.1,"Enterovirus.nasal"
"130","symptom_earpain","0.3% (3/980)","0% (0/50)",-0.3,"Enterovirus.nasal"
"131","symptom_conjunctivitis","0.1% (1/980)","0% (0/50)",-0.1,"Enterovirus.nasal"
"132","symptom_allsyst","72.4% (710/980)","62% (31/50)",-10.4,"Enterovirus.nasal"
"133","symptom_fever","49.8% (488/980)","44% (22/50)",-5.8,"Enterovirus.nasal"
"134","symptom_chills","24.3% (238/980)","16% (8/50)",-8.3,"Enterovirus.nasal"
"135","symptom_shaking","0.9% (9/979)","0% (0/50)",-0.9,"Enterovirus.nasal"
"136","symptom_fatigue","41.4% (406/980)","42% (21/50)",0.6,"Enterovirus.nasal"
"137","symptom_myalgia","23.3% (228/980)","26% (13/50)",2.7,"Enterovirus.nasal"
"138","symptom_lymphadenopathy","0.1% (1/980)","0% (0/50)",-0.1,"Enterovirus.nasal"
"139","symptom_allneuro","31% (304/980)","26% (13/50)",-5,"Enterovirus.nasal"
"140","symptom_headache","16.5% (162/980)","24% (12/50)",7.5,"Enterovirus.nasal"
"141","symptom_confusion","5.8% (57/980)","0% (0/50)",-5.8,"Enterovirus.nasal"
"142","symptom_seizure","0.2% (2/980)","0% (0/50)",-0.2,"Enterovirus.nasal"
"143","symptom_syncope","1.8% (18/980)","0% (0/50)",-1.8,"Enterovirus.nasal"
"144","symptom_anosmia","11% (108/980)","6% (3/50)",-5,"Enterovirus.nasal"
"145","symptom_allGI","39.1% (383/980)","32% (16/50)",-7.1,"Enterovirus.nasal"
"146","symptom_abdpain","9.1% (89/980)","14% (7/50)",4.9,"Enterovirus.nasal"
"147","symptom_nausea","22.6% (221/980)","10% (5/50)",-12.6,"Enterovirus.nasal"
"148","symptom_diarrhea","21.8% (214/980)","20% (10/50)",-1.8,"Enterovirus.nasal"
"149","symptom_allderm","0.7% (7/980)","4% (2/50)",3.3,"Enterovirus.nasal"
"150","symptom_skinrash","0.5% (5/980)","2% (1/50)",1.5,"Enterovirus.nasal"
"151","symptom_skinulcer","0.2% (2/980)","2% (1/50)",1.8,"Enterovirus.nasal"
"152","symptom_allother","8% (78/980)","10% (5/50)",2,"Enterovirus.nasal"
"153","symptom_arthralgia","4% (39/980)","0% (0/50)",-4,"Enterovirus.nasal"
"154","symptom_edema","1.9% (19/980)","4% (2/50)",2.1,"Enterovirus.nasal"
"155","symptom_nonamb","2.2% (22/980)","4% (2/50)",1.8,"Enterovirus.nasal"
"156","symptom_bleeding","0.2% (2/980)","2% (1/50)",1.8,"Enterovirus.nasal"
"157","ever_ever_esc","16.7% (164/980)","14% (7/50)",-2.7,"Enterovirus.nasal"
"158","ever_icu","36.7% (360/980)","32% (16/50)",-4.7,"Enterovirus.nasal"
"159","diedever","15.2% (149/980)","16% (8/50)",0.8,"Enterovirus.nasal"
"160","ever_remdes","61.7% (605/980)","72% (36/50)",10.3,"Enterovirus.nasal"
"161","ever_steroids","68.9% (675/980)","76% (38/50)",7.1,"Enterovirus.nasal"
"162","ever_azithro","32.7% (320/980)","32% (16/50)",-0.7,"Enterovirus.nasal"
"163","ever_otherabx","56.9% (558/980)","54% (27/50)",-2.9,"Enterovirus.nasal"
"164","ever_conplas","7.9% (77/980)","4% (2/50)",-3.9,"Enterovirus.nasal"
"165","ever_monoclonal","0.4% (4/980)","2% (1/50)",1.6,"Enterovirus.nasal"
"166","ever_immsupp","6.8% (67/980)","6% (3/50)",-0.8,"Enterovirus.nasal"
"167","anycomp","85.6% (839/980)","84% (42/50)",-1.6,"Enterovirus.nasal"
"168","ncomp","18.5% (181/980)","14% (7/50)",-4.5,"Enterovirus.nasal"
"169","comp_seizure","0.4% (4/980)","2% (1/50)",1.6,"Enterovirus.nasal"
"170","comp_meningitis","1.3% (13/980)","0% (0/50)",-1.3,"Enterovirus.nasal"
"171","comp_stroke","1.9% (19/980)","0% (0/50)",-1.9,"Enterovirus.nasal"
"172","comp_afib","7.8% (76/980)","8% (4/50)",0.2,"Enterovirus.nasal"
"173","comp_ventricular_arr","3.4% (33/980)","2% (1/50)",-1.4,"Enterovirus.nasal"
"174","comp_endo","0.1% (1/980)","0% (0/50)",-0.1,"Enterovirus.nasal"
"175","comp_myocard","0.4% (4/980)","0% (0/50)",-0.4,"Enterovirus.nasal"
"176","comp_cardarrest","3.6% (35/980)","0% (0/50)",-3.6,"Enterovirus.nasal"
"177","comp_stemi","1.2% (12/980)","0% (0/50)",-1.2,"Enterovirus.nasal"
"178","comp_nstemi","2.7% (26/980)","2% (1/50)",-0.7,"Enterovirus.nasal"
"179","comp_chf","6.6% (65/980)","8% (4/50)",1.4,"Enterovirus.nasal"
"180","comp_pneumonia","68.1% (667/980)","68% (34/50)",-0.1,"Enterovirus.nasal"
"181","comp_bronch","0.4% (4/980)","2% (1/50)",1.6,"Enterovirus.nasal"
"182","comp_pneumo","2.7% (26/980)","6% (3/50)",3.3,"Enterovirus.nasal"
"183","comp_pneumomed","1.1% (11/980)","2% (1/50)",0.9,"Enterovirus.nasal"
"184","comp_aat","0.7% (7/980)","0% (0/50)",-0.7,"Enterovirus.nasal"
"185","comp_avthromb","6.6% (65/980)","8% (4/50)",1.4,"Enterovirus.nasal"
"186","comp_shock","15.8% (155/980)","14% (7/50)",-1.8,"Enterovirus.nasal"
"187","comp_bac","11.4% (112/980)","18% (9/50)",6.6,"Enterovirus.nasal"
"188","comp_coag","3.6% (35/980)","4% (2/50)",0.4,"Enterovirus.nasal"
"189","comp_hypogly","1.3% (13/980)","4% (2/50)",2.7,"Enterovirus.nasal"
"190","comp_bleed","5.5% (54/980)","10% (5/50)",4.5,"Enterovirus.nasal"
"191","comp_anemia","14.3% (140/980)","16% (8/50)",1.7,"Enterovirus.nasal"
"192","comp_pancreas","0.6% (6/980)","0% (0/50)",-0.6,"Enterovirus.nasal"
"193","comp_renal","21.4% (210/980)","24% (12/50)",2.6,"Enterovirus.nasal"
"194","comp_liver","12.6% (123/980)","12% (6/50)",-0.6,"Enterovirus.nasal"
"195","comp_othlab","4.2% (41/980)","4% (2/50)",-0.2,"Enterovirus.nasal"
"196","comp_electrolyte","3.9% (38/980)","4% (2/50)",0.1,"Enterovirus.nasal"
"197","comp_othinf","3% (29/980)","6% (3/50)",3,"Enterovirus.nasal"
"198","comp_othpulm","0.1% (1/980)","0% (0/50)",-0.1,"Enterovirus.nasal"
"199","comp_unddisease","1.3% (13/980)","2% (1/50)",0.7,"Enterovirus.nasal"
"200","comp_enceph","2.1% (21/980)","4% (2/50)",1.9,"Enterovirus.nasal"
"201","comp_othneuro","0.7% (7/980)","0% (0/50)",-0.7,"Enterovirus.nasal"
"202","comp_hypergly","4.4% (43/980)","4% (2/50)",-0.4,"Enterovirus.nasal"
"203","comp_psych","0.3% (3/980)","0% (0/50)",-0.3,"Enterovirus.nasal"
"204","comp_gastroent","1% (10/980)","2% (1/50)",1,"Enterovirus.nasal"
"205","comp_pulmvas","0.1% (1/980)","0% (0/50)",-0.1,"Enterovirus.nasal"
"206","comp_other2","1.9% (19/980)","0% (0/50)",-1.9,"Enterovirus.nasal"
"207","comorb_htn","58% (532/918)","55.4% (56/101)",-2.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"208","comorb_isaric_dm","37.5% (344/918)","34.7% (35/101)",-2.8,"Human alphaherpesvirus 1 (HSV1).nasal"
"209","comorb_anyresp_noasthma","20.4% (187/918)","17.8% (18/101)",-2.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"210","comorb_isaric_asthma","14.5% (133/918)","13.9% (14/101)",-0.6,"Human alphaherpesvirus 1 (HSV1).nasal"
"211","comorb_isaric_cardiac","27.9% (256/918)","25.7% (26/101)",-2.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"212","comorb_isaric_ckd","15.5% (142/918)","13.9% (14/101)",-1.6,"Human alphaherpesvirus 1 (HSV1).nasal"
"213","comorb_isaric_neoplasm","9.3% (85/918)","15.8% (16/101)",6.6,"Human alphaherpesvirus 1 (HSV1).nasal"
"214","comorb_neuro","12.6% (116/918)","6.9% (7/101)",-5.7,"Human alphaherpesvirus 1 (HSV1).nasal"
"215","comorb_isaric_liver","5.4% (50/918)","1% (1/101)",-4.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"216","comorb_hxtrans","5.9% (54/918)","4% (4/101)",-1.9,"Human alphaherpesvirus 1 (HSV1).nasal"
"217","comorb_hiv2","1.2% (11/918)","1% (1/101)",-0.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"218","comorb_eversmkvape","33.8% (310/918)","19.8% (20/101)",-14,"Human alphaherpesvirus 1 (HSV1).nasal"
"219","comorb_anysubstance","7.3% (67/918)","6.9% (7/101)",-0.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"220","comorb_count","13.9% (128/918)","16.8% (17/101)",2.9,"Human alphaherpesvirus 1 (HSV1).nasal"
"221","comorb_countcat","13.9% (128/918)","16.8% (17/101)",2.9,"Human alphaherpesvirus 1 (HSV1).nasal"
"222","timesymptomcat","20.7% (190/918)","21.8% (22/101)",1.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"223","symptom_allresp","86.8% (797/918)","87.1% (88/101)",0.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"224","symptom_cough","61.2% (562/918)","55.4% (56/101)",-5.8,"Human alphaherpesvirus 1 (HSV1).nasal"
"225","symptom_cough_prod","14.6% (134/918)","10.9% (11/101)",-3.7,"Human alphaherpesvirus 1 (HSV1).nasal"
"226","symptom_haemoptysis","2.2% (20/918)","1% (1/101)",-1.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"227","symptom_sorethroat","8.2% (75/918)","8.9% (9/101)",0.7,"Human alphaherpesvirus 1 (HSV1).nasal"
"228","symptom_rhinorrhea","5% (46/918)","5.9% (6/101)",0.9,"Human alphaherpesvirus 1 (HSV1).nasal"
"229","symptom_wheeze","4.4% (40/918)","11.9% (12/101)",7.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"230","symptom_chestpain","19.1% (175/918)","20.8% (21/101)",1.7,"Human alphaherpesvirus 1 (HSV1).nasal"
"231","symptom_dyspnea","71% (652/918)","75.2% (76/101)",4.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"232","symptom_chestwall","0.1% (1/916)","0% (0/101)",-0.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"233","symptom_earpain","0.2% (2/918)","1% (1/101)",0.8,"Human alphaherpesvirus 1 (HSV1).nasal"
"234","symptom_conjunctivitis","0.1% (1/918)","0% (0/101)",-0.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"235","symptom_allsyst","72.1% (662/918)","71.3% (72/101)",-0.8,"Human alphaherpesvirus 1 (HSV1).nasal"
"236","symptom_fever","49.5% (454/918)","50.5% (51/101)",1,"Human alphaherpesvirus 1 (HSV1).nasal"
"237","symptom_chills","23.5% (216/918)","26.7% (27/101)",3.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"238","symptom_shaking","0.8% (7/917)","1% (1/101)",0.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"239","symptom_fatigue","41.6% (382/918)","38.6% (39/101)",-3,"Human alphaherpesvirus 1 (HSV1).nasal"
"240","symptom_myalgia","24.3% (223/918)","13.9% (14/101)",-10.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"241","symptom_lymphadenopathy","0.1% (1/918)","0% (0/101)",-0.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"242","symptom_allneuro","30.6% (281/918)","30.7% (31/101)",0.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"243","symptom_headache","16.8% (154/918)","15.8% (16/101)",-0.9,"Human alphaherpesvirus 1 (HSV1).nasal"
"244","symptom_confusion","5.6% (51/918)","5.9% (6/101)",0.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"245","symptom_seizure","0.2% (2/918)","0% (0/101)",-0.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"246","symptom_syncope","1.7% (16/918)","2% (2/101)",0.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"247","symptom_anosmia","10.9% (100/918)","8.9% (9/101)",-2,"Human alphaherpesvirus 1 (HSV1).nasal"
"248","symptom_allGI","38.7% (355/918)","36.6% (37/101)",-2,"Human alphaherpesvirus 1 (HSV1).nasal"
"249","symptom_abdpain","8.8% (81/918)","11.9% (12/101)",3.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"250","symptom_nausea","22.5% (207/918)","15.8% (16/101)",-6.7,"Human alphaherpesvirus 1 (HSV1).nasal"
"251","symptom_diarrhea","21.4% (196/918)","22.8% (23/101)",1.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"252","symptom_allderm","0.8% (7/918)","2% (2/101)",1.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"253","symptom_skinrash","0.4% (4/918)","2% (2/101)",1.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"254","symptom_skinulcer","0.3% (3/918)","0% (0/101)",-0.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"255","symptom_allother","8.2% (75/918)","6.9% (7/101)",-1.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"256","symptom_arthralgia","3.8% (35/918)","4% (4/101)",0.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"257","symptom_edema","2.2% (20/918)","1% (1/101)",-1.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"258","symptom_nonamb","2.3% (21/918)","2% (2/101)",-0.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"259","symptom_bleeding","0.3% (3/918)","0% (0/101)",-0.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"260","ever_ever_esc","14.5% (133/918)","37.6% (38/101)",23.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"261","ever_icu","34% (312/918)","62.4% (63/101)",28.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"262","diedever","13.4% (123/918)","32.7% (33/101)",19.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"263","ever_remdes","62.3% (572/918)","61.4% (62/101)",-0.9,"Human alphaherpesvirus 1 (HSV1).nasal"
"264","ever_steroids","68.4% (628/918)","75.2% (76/101)",6.8,"Human alphaherpesvirus 1 (HSV1).nasal"
"265","ever_azithro","32.5% (298/918)","36.6% (37/101)",4.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"266","ever_otherabx","55.1% (506/918)","76.2% (77/101)",21.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"267","ever_conplas","7.4% (68/918)","10.9% (11/101)",3.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"268","ever_monoclonal","0.5% (5/918)","0% (0/101)",-0.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"269","ever_immsupp","7% (64/918)","5.9% (6/101)",-1,"Human alphaherpesvirus 1 (HSV1).nasal"
"270","anycomp","84.7% (778/918)","93.1% (94/101)",8.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"271","ncomp","18.8% (173/918)","13.9% (14/101)",-5,"Human alphaherpesvirus 1 (HSV1).nasal"
