term,npar,AIC,LRT,Pr(Chi),virus,feature,coef_virus,direction,log10p,signedlog10p,Label,panel
binary,1,453.181240121922,1.133886519746,0.40011956329526,CMV.pbmc,comorb_isaric_liver,0.652356073039465,1,0.39781021387101506,0.39781021387101506,Liver Disease,Complications & Comorbidities
binary,1,389.948605624972,0.197038761589852,0.7076695930892958,CMV.pbmc,comorb_hxtrans,0.321856884739775,1,0.15016946461408986,0.15016946461408986,Organ/BM Transplant,Complications & Comorbidities
binary,1,589.782927243958,0.33069745985722,0.6330785291926155,CMV.pbmc,comorb_anysubstance,-0.41343283427324,-1,0.19854241529118047,-0.19854241529118047,Substance Use,Complications & Comorbidities
binary,1,835.316946280507,5.24781501715495,0.06015404553156705,CMV.pbmc,ever_icu,1.1412159536638,1,1.220735159796213,1.220735159796213,ICU,Clinical Event
binary,1,1399.9305560085,0.0550023895111735,0.8553055792685818,CMV.pbmc,ever_remdes,0.0853154074793087,1,0.06787869500273169,0.06787869500273169,Remdesivir,Medication
binary,1,1145.37228068717,0.00482090380796762,0.944645178075786,CMV.pbmc,ever_steroids,-0.0310378869132399,-1,0.024731287935872252,-0.024731287935872252,Steroids,Medication
binary,1,1305.54451136415,1.53634700434077,0.35438507389750046,CMV.pbmc,ever_azithro,-0.470046194246481,-1,0.45052457815197966,-0.45052457815197966,Azithromycin,Medication
binary,1,479.114725409616,1.26809470724265,0.39018662405072246,CMV.pbmc,ever_conplas,-0.826078470458052,-1,0.4087276226927332,-0.4087276226927332,Conv Plasma,Medication
binary,1,479.323560708285,3.43169950376011,0.14244350618517845,CMV.pbmc,ever_immsupp,1.0742977273753,1,0.8463573448957419,0.8463573448957419,Immunosupressed,Medication
binary,1,809.538833700027,1.17820553385116,0.40011956329526,CMV.pbmc,ncomp,0.657062000201906,1,0.39781021387101506,0.39781021387101506,Number of Complications,Clinical Event
binary,1,189.819026223176,7.23859728456478,0.02497344615644837,CMV.pbmc,comp_stroke,1.78920845079594,1,1.6025215239898098,1.6025215239898098,Stroke,Complications & Comorbidities
binary,1,145.402460492784,1.7953959335035,0.32152331775464077,CMV.pbmc,comp_stemi,1.26258854985276,1,0.49278752536821535,0.49278752536821535,STEMI,Complications & Comorbidities
binary,1,539.308452156603,0.206253116432435,0.7076695930892958,CMV.pbmc,comp_chf,0.264196555806828,1,0.15016946461408986,0.15016946461408986,CHF,Complications & Comorbidities
binary,1,257.129741002116,0.497067143927779,0.5769499633122588,CMV.pbmc,comp_pneumo,0.491627634207193,1,0.2388618499286019,0.2388618499286019,Pneumothorax,Complications & Comorbidities
binary,1,514.670391171969,2.96218310985887,0.1704655799948074,CMV.pbmc,comp_avthromb,0.789284002130407,1,0.7683632995301065,0.7683632995301065,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,610.166581133426,11.2575433000413,0.00475800564291912,CMV.pbmc,comp_shock,1.3917244855697,1,2.3225750472320894,2.3225750472320894,Shock,Complications & Comorbidities
binary,1,720.721526931328,7.5790050421665,0.022114481095566282,CMV.pbmc,comp_bac,1.10235045340588,1,1.6553232466618257,1.6553232466618257,Bacteremia,Complications & Comorbidities
binary,1,1067.84008231403,7.56430400265845,0.022114481095566282,CMV.pbmc,comp_renal,0.983280945756218,1,1.6553232466618257,1.6553232466618257,Renal,Complications & Comorbidities
binary,1,810.588506099335,0.0327790136261683,0.888044393991526,CMV.pbmc,comp_liver,-0.090726882936119,-1,0.05156532297857346,-0.05156532297857346,Liver Dysfunction/Failure,Complications & Comorbidities
binary,1,326.037642645127,1.30082039211641,0.38893959662274746,CMV.pbmc,comp_othinf,0.82331870649564,1,0.410117840551774,0.410117840551774,Other Infection,Complications & Comorbidities
binary,1,39.003052727063,8.08072511319574,0.02046193566395085,CMV.pbmc,comp_pulmvas,43.760667849098,1,1.6890532851688498,1.6890532851688498,Pulm Vascular Disease,Complications & Comorbidities
binary,1,429.482098565294,0.704750834757988,0.5238234236411038,EBV.nasal,comorb_isaric_liver,0.414845499747125,1,0.2808150852719395,0.2808150852719395,Liver Disease,Complications & Comorbidities
binary,1,379.420860645767,2.40487565264363,0.220879342765242,EBV.nasal,comorb_hxtrans,-0.970878591524734,-1,0.6558448986263692,-0.6558448986263692,Organ/BM Transplant,Complications & Comorbidities
binary,1,562.942331689019,0.00719557947547855,0.932399117572327,EBV.nasal,comorb_anysubstance,-0.042310502134471,-1,0.030398146169962004,-0.030398146169962004,Substance Use,Complications & Comorbidities
binary,1,824.203167419753,8.15128581880288,0.021262198427630604,EBV.nasal,ever_icu,1.06692043415164,1,1.6723918331510257,1.6723918331510257,ICU,Clinical Event
binary,1,1349.09851580111,0.469633634659886,0.5917869144200844,EBV.nasal,ever_remdes,0.188363266126257,1,0.22783464217974625,0.22783464217974625,Remdesivir,Medication
binary,1,1106.59904302286,0.366553458539556,0.6446573474579658,EBV.nasal,ever_steroids,-0.199864692105709,-1,0.19067106311668408,-0.19067106311668408,Steroids,Medication
binary,1,1250.93900194834,0.0699620373234211,0.820702878797481,EBV.nasal,ever_azithro,0.0717285726344822,1,0.08581404318980622,0.08581404318980622,Azithromycin,Medication
binary,1,460.859450388397,1.25817252440703,0.3861012701111617,EBV.nasal,ever_conplas,-0.630451084058394,-1,0.41329876972699553,-0.41329876972699553,Conv Plasma,Medication
binary,1,467.106024688495,0.0631057501273631,0.8212053607581334,EBV.nasal,ever_immsupp,-0.125449905852567,-1,0.085548224255078,-0.085548224255078,Immunosupressed,Medication
binary,1,774.501912505845,1.31487915644311,0.3841291806874658,EBV.nasal,ncomp,0.56711511951709,1,0.4155227000460331,0.4155227000460331,Number of Complications,Clinical Event
binary,1,183.549809403807,2.53835838872473,0.21211957474729257,EBV.nasal,comp_stroke,0.955453838521654,1,0.6734192522167286,0.6734192522167286,Stroke,Complications & Comorbidities
binary,1,134.196270209897,1.27615031365767,0.3861012701111617,EBV.nasal,comp_stemi,0.85292686591958,1,0.41329876972699553,0.41329876972699553,STEMI,Complications & Comorbidities
binary,1,489.892207408999,0.831797750557826,0.48233760709682133,EBV.nasal,comp_chf,0.378680162319524,1,0.3166488755073073,0.3166488755073073,CHF,Complications & Comorbidities
binary,1,249.994285350325,0.840757632210625,0.48233760709682133,EBV.nasal,comp_pneumo,0.508021356915948,1,0.3166488755073073,0.3166488755073073,Pneumothorax,Complications & Comorbidities
binary,1,493.314464940571,1.91667798207669,0.2792552121461995,EBV.nasal,comp_avthromb,0.516567314761308,1,0.5539987122671117,0.5539987122671117,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,587.021252234155,9.18557850047398,0.01463576541599646,EBV.nasal,comp_shock,1.02911168636503,1,1.8345845600596264,1.8345845600596264,Shock,Complications & Comorbidities
binary,1,695.636192338084,1.81269960994825,0.2934807240595555,EBV.nasal,comp_bac,0.438292546465803,1,0.5324204181284016,0.5324204181284016,Bacteremia,Complications & Comorbidities
binary,1,1015.92314516536,4.68418547709939,0.08523617882144904,EBV.nasal,comp_renal,0.611582129885179,1,1.0693760281501978,1.0693760281501978,Renal,Complications & Comorbidities
binary,1,791.917949313021,3.94858823398022,0.11940907449848542,EBV.nasal,comp_liver,0.657486334598909,1,0.9229626677220095,0.9229626677220095,Liver Dysfunction/Failure,Complications & Comorbidities
binary,1,301.026364069029,6.1084850446959,0.049134301647373715,EBV.nasal,comp_othinf,1.32003196791465,1,1.30861521225564,1.30861521225564,Other Infection,Complications & Comorbidities
binary,1,38.6865308710996,0.193716516664644,0.7309873836070361,EBV.nasal,comp_pulmvas,-20.2415998826283,-1,0.13609011863328804,-0.13609011863328804,Pulm Vascular Disease,Complications & Comorbidities
binary,1,453.181240121922,0.394985342389873,0.6012702582104843,EBV.pbmc,comorb_isaric_liver,0.197806136852717,1,0.22093027796811307,0.22093027796811307,Liver Disease,Complications & Comorbidities
binary,1,389.948605624972,3.81848760296634,0.12902902268988176,EBV.pbmc,comorb_hxtrans,0.664590537942659,1,0.889312592209303,0.889312592209303,Organ/BM Transplant,Complications & Comorbidities
