"","term","npar","AIC","LRT","Pr(Chi)","virus","feature","coef_virus"
"139","discretized_admit_age_quantile",4,41.6313500587833,7.55772124185271,0.109190800179688,"Anelloviridae.pbmc","symptom_conjunctivitis",1.40568078004885
"140","trajectory_group",4,36.572791471463,2.49916265453239,0.644785738893551,"Anelloviridae.pbmc","symptom_conjunctivitis",1.40568078004885
"141","<none>",NA,1296.28622675777,NA,NA,"Anelloviridae.pbmc","symptom_allsyst",0.00915941613224261
"142","binary",1,1294.28920502204,0.00297826426458414,0.95647827047631,"Anelloviridae.pbmc","symptom_allsyst",0.00915941613224261
"143","sex",1,1295.12426552691,0.838038769132936,0.359958286873689,"Anelloviridae.pbmc","symptom_allsyst",0.00915941613224261
"144","discretized_admit_age_quantile",4,1301.45505027414,13.1688235163685,0.0104796845399108,"Anelloviridae.pbmc","symptom_allsyst",0.00915941613224261
"145","trajectory_group",4,1300.47648303179,12.1902562740181,0.0159911510937434,"Anelloviridae.pbmc","symptom_allsyst",0.00915941613224261
"146","<none>",NA,1513.1486568102,NA,NA,"Anelloviridae.pbmc","symptom_fever",-0.0248710535306344
"147","binary",1,1511.17511494611,0.0264581359149361,0.87078648092906,"Anelloviridae.pbmc","symptom_fever",-0.0248710535306344
"148","sex",1,1511.66730133073,0.518644520529278,0.471420464339163,"Anelloviridae.pbmc","symptom_fever",-0.0248710535306344
"149","discretized_admit_age_quantile",4,1535.5125869164,30.3639301062033,4.12655475315793e-06,"Anelloviridae.pbmc","symptom_fever",-0.0248710535306344
"150","trajectory_group",4,1509.68071480163,4.5320579914337,0.338763138210091,"Anelloviridae.pbmc","symptom_fever",-0.0248710535306344
"151","<none>",NA,1224.89505440504,NA,NA,"Anelloviridae.pbmc","symptom_chills",0.0929488919100271
"152","binary",1,1223.16891049715,0.273856092103188,0.600756724287862,"Anelloviridae.pbmc","symptom_chills",0.0929488919100271
"153","sex",1,1222.90549628833,0.0104418832836473,0.918609410134263,"Anelloviridae.pbmc","symptom_chills",0.0929488919100271
"154","discretized_admit_age_quantile",4,1231.88526348893,14.9902090838873,0.00472156729439896,"Anelloviridae.pbmc","symptom_chills",0.0929488919100271
