term,npar,AIC,LRT,Pr(Chi),virus,feature,coef_virus,OR_values,2.5 %,97.5 %,direction,log10p,signedlog10p,Label,panel
binary,1,182.767271868763,1.09375310319098,0.4071123841500901,CMV.nasal,comp_stroke,0.927230390721287,2.52749928928934,0.515052737752542,12.403103971903,1,0.3902856864040867,0.3902856864040867,Stroke,Complications & Comorbidities
binary,1,133.68273685424,2.91812579758565,0.1751790892294324,CMV.nasal,comp_stemi,1.6716441381244,5.32090891861615,1.00324724850661,28.2204329614191,1,0.7565177359205882,0.7565177359205882,STEMI,Complications & Comorbidities
binary,1,475.332773197886,1.3966494362744,0.3691105766338947,CMV.nasal,comp_chf,-1.07474501953768,0.341384790656117,0.0433372577524368,2.68922357656023,-1,0.43284351018790607,-0.43284351018790607,CHF,Complications & Comorbidities
binary,1,248.045166319906,8.69297159507141,0.015784064736647365,CMV.nasal,comp_pneumo,1.95633588410641,7.07336190674831,2.23194286830257,22.4165454117957,1,1.801781146540009,1.801781146540009,Pneumothorax,Complications & Comorbidities
binary,1,460.271630454178,3.48538731723824,0.1485908916686239,CMV.nasal,comp_avthromb,1.06367399661379,2.8969950108679,1.0111421619969,8.30009904484556,1,0.8280078111628714,0.8280078111628714,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,565.198326390771,5.50220222711209,0.06647389209858565,CMV.nasal,comp_shock,1.33965859510814,3.81773988777474,1.21625410899123,11.9836288674865,1,1.1773488921984316,1.1773488921984316,Shock,Complications & Comorbidities
binary,1,664.823973886529,1.59381233886154,0.32773044009511115,CMV.nasal,comp_bac,0.653776307317568,1.92278817535455,0.712867981793656,5.18625392317512,1,0.4844832188209465,0.4844832188209465,Bacteremia,Complications & Comorbidities
binary,1,940.056213139089,1.21206932230598,0.398437381184766,CMV.nasal,comp_renal,0.558882893929148,1.74871790536614,0.650877027831569,4.69829811437053,1,0.39963992305784274,0.39963992305784274,Renal,Complications & Comorbidities
binary,1,769.299218254011,0.00760272098932546,0.9532131918091573,CMV.nasal,comp_liver,0.0572587021865888,1.05892972239778,0.294486082414498,3.80775942884505,1,0.020809955949711197,0.020809955949711197,Liver Dysfunction/Failure,Complications & Comorbidities
binary,1,297.657514828071,4.37644854823401,0.10554700238451628,CMV.nasal,comp_othinf,1.72694292207447,5.62343632104174,1.34215830855495,23.5613309214311,1,0.9765540964761733,0.9765540964761733,Other Infection,Complications & Comorbidities
binary,1,29.606414594574,2.8421e-13,0.999999574631663,CMV.nasal,comp_pulmvas,-0.110981072218449,0.894955688294484,0,Inf,-1,1.847351608248989e-7,-1.847351608248989e-7,Pulm Vascular Disease,Complications & Comorbidities
binary,1,445.310513324842,1.34908151486502,0.368158127699775,CMV.pbmc,comorb_isaric_liver,0.71543298292987,2.04507197184125,0.662582800064961,6.31214599835767,1,0.43396560731223044,0.43396560731223044,Liver Disease,Complications & Comorbidities
binary,1,383.119874143079,2.4964774610225e-4,0.987393752877914,CMV.pbmc,comorb_hxtrans,-0.0128354718214558,0.987246551535773,0.200453115870963,4.86226292509559,-1,0.005509624836998522,-0.005509624836998522,Organ/BM Transplant,Complications & Comorbidities
binary,1,573.531376348885,0.298551778868386,0.6513774809015593,CMV.pbmc,comorb_anysubstance,-0.394310344927687,0.674144806351125,0.152478652667049,2.98055637284895,-1,0.18616725972454073,-0.18616725972454073,Substance Use,Complications & Comorbidities
binary,1,828.743713378338,5.22132184471718,0.060457198643289405,CMV.pbmc,ever_icu,1.14336808946113,3.137317355764,1.14472860827863,8.59833511593544,1,1.2185519802469784,1.2185519802469784,ICU,Clinical Event
binary,1,1369.81006577407,0.0183949859458608,0.9251565837552805,CMV.pbmc,ever_remdes,0.0496182517617363,1.05086985207907,0.512260914411916,2.15579095523318,1,0.03378475622775705,0.03378475622775705,Remdesivir,Medication
binary,1,1108.70927060214,0.0078790144159484,0.940465637030059,CMV.pbmc,ever_steroids,-0.0400337799087184,0.960756984320935,0.397760118432464,2.32062979707249,-1,0.026657068184698388,-0.026657068184698388,Steroids,Medication
binary,1,1292.41241518267,2.18284165112459,0.24942026960124458,CMV.pbmc,ever_azithro,-0.573353528356239,0.563632109545575,0.256979205128921,1.23621347007989,-1,0.6030682556759761,-0.6030682556759761,Azithromycin,Medication
binary,1,472.940413877535,1.28782014288385,0.3779264034597741,CMV.pbmc,ever_conplas,-0.832169032813155,0.435104506111399,0.0911538758451744,2.07688295734127,-1,0.42259276546241753,-0.42259276546241753,Conv Plasma,Medication
binary,1,470.613547317242,2.35789344310786,0.23268076946578614,CMV.pbmc,ever_immsupp,0.933016611690917,2.54216635118679,0.830757693940381,7.77917532903422,1,0.6332395086772095,0.6332395086772095,Immunosupressed,Medication
binary,1,788.546803662109,1.14034429861454,0.41359802291446224,CMV.pbmc,ncomp,0.646342044690897,1.9085466662349,0.537208089214074,6.78052034273223,1,0.3834215459281166,0.3834215459281166,Number of Complications,Clinical Event
binary,1,189.631897668847,7.65998189671112,0.02258362851089096,CMV.pbmc,comp_stroke,1.85577997842112,6.39668558208333,1.92876002053022,21.2144517723799,1,1.6462062787239196,1.6462062787239196,Stroke,Complications & Comorbidities
binary,1,145.095181223736,1.85605824341647,0.3028907448952928,CMV.pbmc,comp_stemi,1.2881863593099,3.62620395727539,0.685513754317387,19.1817524549211,1,0.51871399673090135,0.51871399673090135,STEMI,Complications & Comorbidities
binary,1,537.315403994368,0.231691415083105,0.6875699956763955,CMV.pbmc,comp_chf,0.280726139138383,1.32409093759244,0.435816861167521,4.0228292368443,1,0.16268308340512627,0.16268308340512627,CHF,Complications & Comorbidities
binary,1,256.811395462496,0.607219173800218,0.5552253198258492,CMV.pbmc,comp_pneumo,0.546883484444294,1.72785971639448,0.468088378874113,6.37806733574504,1,0.2555307370598385,0.2555307370598385,Pneumothorax,Complications & Comorbidities
binary,1,513.027539666613,3.28087467742426,0.15096644751120927,CMV.pbmc,comp_avthromb,0.837707709205268,2.31106327122311,0.978589510454996,5.45786909274469,1,0.8211195644942559,0.8211195644942559,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,605.466634341998,10.153675470018,0.00864082974348054,CMV.pbmc,comp_shock,1.34287738612343,3.83004819292847,1.66663915538638,8.80170678382617,1,2.0634445519987885,2.0634445519987885,Shock,Complications & Comorbidities
binary,1,717.277359278143,8.11939141729113,0.020704065987205908,CMV.pbmc,comp_bac,1.15349762704827,3.16925843088674,1.47154282833358,6.82562464941712,1,1.6839443568424537,1.6839443568424537,Bacteremia,Complications & Comorbidities
binary,1,1047.40798118325,6.67432010473976,0.03423413564680347,CMV.pbmc,comp_renal,0.940024251116447,2.56004350148954,1.26869869121634,5.16578347159442,1,1.4655406328488758,1.4655406328488758,Renal,Complications & Comorbidities
binary,1,805.466598728944,0.00909920741696624,0.940465637030059,CMV.pbmc,comp_liver,-0.0480490426133275,0.953087044051945,0.353446431870538,2.57004974907314,-1,0.026657068184698388,-0.026657068184698388,Liver Dysfunction/Failure,Complications & Comorbidities
binary,1,318.327969537725,1.41720328138581,0.36378887727699066,CMV.pbmc,comp_othinf,0.863019608946729,2.3703072994261,0.640592452459494,8.77056336230861,1,0.4391505834777908,0.4391505834777908,Other Infection,Complications & Comorbidities
binary,1,38.9030110185261,7.98068340609618,0.020902334824936808,CMV.pbmc,comp_pulmvas,43.7993205696257,10514853701387678e3,0,Inf,1,1.6798051997764416,1.6798051997764416,Pulm Vascular Disease,Complications & Comorbidities
binary,1,413.335009463294,0.746626763274605,0.5086545495795841,EBV.nasal,comorb_isaric_liver,0.428892887925331,1.53555654894059,0.602118634556748,3.91606201779511,1,0.2935770666710551,0.2935770666710551,Liver Disease,Complications & Comorbidities
