""," Clinical Variable","TG1 Percent Difference","TG1 Rate of Clinical Event in Virus Negative Participants","TG1 Rate of Clinical Event in Virus Positive Participants","TG2 Percent Difference","TG2 Rate of Clinical Event in Virus Negative Participants","TG2 Rate of Clinical Event in Virus Positive Participants","TG3 Percent Difference","TG3 Rate of Clinical Event in Virus Negative Participants","TG3 Rate of Clinical Event in Virus Positive Participants","TG4 Percent Difference","TG4 Rate of Clinical Event in Virus Negative Participants","TG4 Rate of Clinical Event in Virus Positive Participants","TG5 Percent Difference","TG5 Rate of Clinical Event in Virus Negative Participants","TG5 Rate of Clinical Event in Virus Positive Participants","virus"
"578","ever_immsupp",-6.3,"6.3% (13/207)","0% (0/1)",19.2,"5.8% (14/243)","25% (2/8)",-7.6,"7.6% (24/314)","0% (0/5)",1.1,"7.6% (15/198)","8.7% (2/23)",19.9,"5.1% (5/99)","25% (1/4)","Human betaherpesvirus 5 (CMV).pbmc"
"579","anycomp",23.2,"76.8% (159/207)","100% (1/1)",-9,"84% (204/243)","75% (6/8)",14.3,"85.7% (269/314)","100% (5/5)",3.2,"92.4% (183/198)","95.7% (22/23)",3,"97% (96/99)","100% (4/4)","Human betaherpesvirus 5 (CMV).pbmc"
"580","ncomp",67.6,"32.4% (67/207)","100% (1/1)",-6.4,"18.9% (46/243)","12.5% (1/8)",19.9,"20.1% (63/314)","40% (2/5)",-7.1,"7.1% (14/198)","0% (0/23)",-3,"3% (3/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"581","comp_seizure",0,"0% (0/207)","0% (0/1)",-0.4,"0.4% (1/243)","0% (0/8)",-0.3,"0.3% (1/314)","0% (0/5)",-1,"1% (2/198)","0% (0/23)",-1,"1% (1/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"582","comp_meningitis",-0.5,"0.5% (1/207)","0% (0/1)",-0.4,"0.4% (1/243)","0% (0/8)",-0.6,"0.6% (2/314)","0% (0/5)",7.7,"1% (2/198)","8.7% (2/23)",22,"3% (3/99)","25% (1/4)","Human betaherpesvirus 5 (CMV).pbmc"
"583","comp_stroke",-0.5,"0.5% (1/207)","0% (0/1)",0,"0% (0/243)","0% (0/8)",19.4,"0.6% (2/314)","20% (1/5)",9,"4% (8/198)","13% (3/23)",21,"4% (4/99)","25% (1/4)","Human betaherpesvirus 5 (CMV).pbmc"
"584","comp_afib",-2.4,"2.4% (5/207)","0% (0/1)",-5.3,"5.3% (13/243)","0% (0/8)",-6.1,"6.1% (19/314)","0% (0/5)",-2.4,"11.1% (22/198)","8.7% (2/23)",-21.2,"21.2% (21/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"585","comp_ventricular_arr",-0.5,"0.5% (1/207)","0% (0/1)",-2.1,"2.1% (5/243)","0% (0/8)",-1.9,"1.9% (6/314)","0% (0/5)",8,"5.1% (10/198)","13% (3/23)",-14.1,"14.1% (14/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"586","comp_endo",0,"0% (0/207)","0% (0/1)",0,"0% (0/243)","0% (0/8)",0,"0% (0/314)","0% (0/5)",-0.5,"0.5% (1/198)","0% (0/23)",0,"0% (0/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"587","comp_myocard",-0.5,"0.5% (1/207)","0% (0/1)",-0.4,"0.4% (1/243)","0% (0/8)",-0.6,"0.6% (2/314)","0% (0/5)",0,"0% (0/198)","0% (0/23)",-1,"1% (1/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"588","comp_cardarrest",0,"0% (0/207)","0% (0/1)",0,"0% (0/243)","0% (0/8)",-0.6,"0.6% (2/314)","0% (0/5)",5.7,"3% (6/198)","8.7% (2/23)",-3.3,"28.3% (28/99)","25% (1/4)","Human betaherpesvirus 5 (CMV).pbmc"
"589","comp_stemi",-1,"1% (2/207)","0% (0/1)",0,"0% (0/243)","0% (0/8)",-0.6,"0.6% (2/314)","0% (0/5)",7.7,"1% (2/198)","8.7% (2/23)",-5.1,"5.1% (5/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"590","comp_nstemi",-2.4,"2.4% (5/207)","0% (0/1)",-0.8,"0.8% (2/243)","0% (0/8)",-1.9,"1.9% (6/314)","0% (0/5)",-3,"3% (6/198)","0% (0/23)",-11.1,"11.1% (11/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"591","comp_chf",-3.4,"3.4% (7/207)","0% (0/1)",19.7,"5.3% (13/243)","25% (2/8)",-5.4,"5.4% (17/314)","0% (0/5)",-2.2,"6.6% (13/198)","4.3% (1/23)",1.8,"23.2% (23/99)","25% (1/4)","Human betaherpesvirus 5 (CMV).pbmc"
"592","comp_pneumonia",45.9,"54.1% (112/207)","100% (1/1)",-19.1,"69.1% (168/243)","50% (4/8)",-23.7,"63.7% (200/314)","40% (2/5)",7.2,"79.8% (158/198)","87% (20/23)",17.2,"82.8% (82/99)","100% (4/4)","Human betaherpesvirus 5 (CMV).pbmc"
"593","comp_bronch",0,"0% (0/207)","0% (0/1)",-0.4,"0.4% (1/243)","0% (0/8)",-0.3,"0.3% (1/314)","0% (0/5)",-1.5,"1.5% (3/198)","0% (0/23)",25,"0% (0/99)","25% (1/4)","Human betaherpesvirus 5 (CMV).pbmc"
"594","comp_pneumo",-0.5,"0.5% (1/207)","0% (0/1)",-1.2,"1.2% (3/243)","0% (0/8)",-1.6,"1.6% (5/314)","0% (0/5)",7,"6.1% (12/198)","13% (3/23)",-5.1,"5.1% (5/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"595","comp_pneumomed",0,"0% (0/207)","0% (0/1)",0,"0% (0/243)","0% (0/8)",0,"0% (0/314)","0% (0/5)",-3.5,"3.5% (7/198)","0% (0/23)",-5.1,"5.1% (5/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"596","comp_aat",-0.5,"0.5% (1/207)","0% (0/1)",-0.4,"0.4% (1/243)","0% (0/8)",-0.3,"0.3% (1/314)","0% (0/5)",2.3,"2% (4/198)","4.3% (1/23)",-2,"2% (2/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"597","comp_avthromb",-1.4,"1.4% (3/207)","0% (0/1)",-4.5,"4.5% (11/243)","0% (0/8)",-4.1,"4.1% (13/314)","0% (0/5)",25.5,"13.6% (27/198)","39.1% (9/23)",-15.2,"15.2% (15/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"598","comp_shock",-1,"1% (2/207)","0% (0/1)",8.4,"4.1% (10/243)","12.5% (1/8)",-2.9,"2.9% (9/314)","0% (0/5)",36.2,"33.3% (66/198)","69.6% (16/23)",10.4,"64.6% (64/99)","75% (3/4)","Human betaherpesvirus 5 (CMV).pbmc"
"599","comp_bac",-3.9,"3.9% (8/207)","0% (0/1)",-7,"7% (17/243)","0% (0/8)",33,"7% (22/314)","40% (2/5)",22.3,"21.2% (42/198)","43.5% (10/23)",45.7,"29.3% (29/99)","75% (3/4)","Human betaherpesvirus 5 (CMV).pbmc"
"600","comp_coag",-4.3,"4.3% (9/207)","0% (0/1)",8.8,"3.7% (9/243)","12.5% (1/8)",-1.6,"1.6% (5/314)","0% (0/5)",4.7,"4% (8/198)","8.7% (2/23)",-6.1,"6.1% (6/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"601","comp_hypogly",0,"0% (0/207)","0% (0/1)",-1.2,"1.2% (3/243)","0% (0/8)",-1,"1% (3/314)","0% (0/5)",-3.5,"3.5% (7/198)","0% (0/23)",24,"1% (1/99)","25% (1/4)","Human betaherpesvirus 5 (CMV).pbmc"
"602","comp_bleed",-1.9,"1.9% (4/207)","0% (0/1)",-2.5,"2.5% (6/243)","0% (0/8)",17.1,"2.9% (9/314)","20% (1/5)",12.6,"9.1% (18/198)","21.7% (5/23)",4.8,"20.2% (20/99)","25% (1/4)","Human betaherpesvirus 5 (CMV).pbmc"
"603","comp_anemia",-4.8,"4.8% (10/207)","0% (0/1)",-6.6,"6.6% (16/243)","0% (0/8)",30.1,"9.9% (31/314)","40% (2/5)",7.8,"31.3% (62/198)","39.1% (9/23)",24.7,"25.3% (25/99)","50% (2/4)","Human betaherpesvirus 5 (CMV).pbmc"
"604","comp_pancreas",-1.4,"1.4% (3/207)","0% (0/1)",0,"0% (0/243)","0% (0/8)",-0.3,"0.3% (1/314)","0% (0/5)",-0.5,"0.5% (1/198)","0% (0/23)",-1,"1% (1/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"605","comp_renal",-10.1,"10.1% (21/207)","0% (0/1)",36.4,"13.6% (33/243)","50% (4/8)",-17.5,"17.5% (55/314)","0% (0/5)",22.4,"29.8% (59/198)","52.2% (12/23)",16.4,"58.6% (58/99)","75% (3/4)","Human betaherpesvirus 5 (CMV).pbmc"
"606","comp_liver",-9.2,"9.2% (19/207)","0% (0/1)",-0.3,"12.8% (31/243)","12.5% (1/8)",-11.8,"11.8% (37/314)","0% (0/5)",-1.6,"14.6% (29/198)","13% (3/23)",12.9,"12.1% (12/99)","25% (1/4)","Human betaherpesvirus 5 (CMV).pbmc"
"607","comp_othlab",-4.8,"4.8% (10/207)","0% (0/1)",-3.3,"3.3% (8/243)","0% (0/8)",-3.5,"3.5% (11/314)","0% (0/5)",-2.2,"6.6% (13/198)","4.3% (1/23)",-4,"4% (4/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"608","comp_electrolyte",-3.4,"3.4% (7/207)","0% (0/1)",11.3,"1.2% (3/243)","12.5% (1/8)",-3.5,"3.5% (11/314)","0% (0/5)",9.5,"3.5% (7/198)","13% (3/23)",-10.1,"10.1% (10/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"609","comp_othinf",-3.9,"3.9% (8/207)","0% (0/1)",-2.1,"2.1% (5/243)","0% (0/8)",-2.9,"2.9% (9/314)","0% (0/5)",9.5,"3.5% (7/198)","13% (3/23)",-2,"2% (2/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"610","comp_othpulm",0,"0% (0/207)","0% (0/1)",0,"0% (0/243)","0% (0/8)",-0.3,"0.3% (1/314)","0% (0/5)",0,"0% (0/198)","0% (0/23)",0,"0% (0/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"611","comp_unddisease",-1.9,"1.9% (4/207)","0% (0/1)",-0.8,"0.8% (2/243)","0% (0/8)",-1.9,"1.9% (6/314)","0% (0/5)",3.8,"0.5% (1/198)","4.3% (1/23)",-1,"1% (1/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"612","comp_enceph",-0.5,"0.5% (1/207)","0% (0/1)",-1.2,"1.2% (3/243)","0% (0/8)",-1.9,"1.9% (6/314)","0% (0/5)",4.2,"4.5% (9/198)","8.7% (2/23)",21,"4% (4/99)","25% (1/4)","Human betaherpesvirus 5 (CMV).pbmc"
"613","comp_othneuro",-1,"1% (2/207)","0% (0/1)",-0.4,"0.4% (1/243)","0% (0/8)",-1,"1% (3/314)","0% (0/5)",-0.5,"0.5% (1/198)","0% (0/23)",0,"0% (0/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"614","comp_hypergly",-1.9,"1.9% (4/207)","0% (0/1)",-5.3,"5.3% (13/243)","0% (0/8)",14.6,"5.4% (17/314)","20% (1/5)",1.3,"3% (6/198)","4.3% (1/23)",-6.1,"6.1% (6/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"615","comp_psych",-0.5,"0.5% (1/207)","0% (0/1)",-0.4,"0.4% (1/243)","0% (0/8)",-0.3,"0.3% (1/314)","0% (0/5)",0,"0% (0/198)","0% (0/23)",0,"0% (0/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"616","comp_gastroent",-1,"1% (2/207)","0% (0/1)",-2.1,"2.1% (5/243)","0% (0/8)",-1.3,"1.3% (4/314)","0% (0/5)",4.3,"0% (0/198)","4.3% (1/23)",0,"0% (0/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"617","comp_pulmvas",0,"0% (0/207)","0% (0/1)",12.5,"0% (0/243)","12.5% (1/8)",-0.3,"0.3% (1/314)","0% (0/5)",0,"0% (0/198)","0% (0/23)",0,"0% (0/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"618","comp_other2",-1,"1% (2/207)","0% (0/1)",10,"2.5% (6/243)","12.5% (1/8)",-1.9,"1.9% (6/314)","0% (0/5)",-2.5,"2.5% (5/198)","0% (0/23)",-2,"2% (2/99)","0% (0/4)","Human betaherpesvirus 5 (CMV).pbmc"
"619","comorb_htn",44.7,"55.3% (105/190)","100% (3/3)",-0.8,"56.4% (124/220)","55.6% (5/9)",8,"53.1% (152/286)","61.1% (11/18)",2.2,"59.1% (101/171)","61.3% (19/31)",-25,"75% (66/88)","50% (7/14)","Human gammaherpesvirus 4 (EBV).nasal"
"620","comorb_isaric_dm",-7.7,"41.1% (78/190)","33.3% (1/3)",15.4,"29.1% (64/220)","44.4% (4/9)",-11.3,"33.6% (96/286)","22.2% (4/18)",-1.3,"43.3% (74/171)","41.9% (13/31)",-15.4,"51.1% (45/88)","35.7% (5/14)","Human gammaherpesvirus 4 (EBV).nasal"
"621","comorb_anyresp_noasthma",-11.1,"11.1% (21/190)","0% (0/3)",-6.6,"17.7% (39/220)","11.1% (1/9)",-1.2,"23.4% (67/286)","22.2% (4/18)",-2.6,"18.7% (32/171)","16.1% (5/31)",-10.1,"38.6% (34/88)","28.6% (4/14)","Human gammaherpesvirus 4 (EBV).nasal"
"622","comorb_isaric_asthma",17,"16.3% (31/190)","33.3% (1/3)",-18.2,"18.2% (40/220)","0% (0/9)",-2.2,"13.3% (38/286)","11.1% (2/18)",10.3,"12.3% (21/171)","22.6% (7/31)",13.5,"8% (7/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"623","comorb_isaric_cardiac",9.1,"24.2% (46/190)","33.3% (1/3)",9.2,"24.1% (53/220)","33.3% (3/9)",10.6,"28.3% (81/286)","38.9% (7/18)",-7.8,"24% (41/171)","16.1% (5/31)",-34.6,"48.9% (43/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"624","comorb_isaric_ckd",21.8,"11.6% (22/190)","33.3% (1/3)",10.4,"11.8% (26/220)","22.2% (2/9)",0.2,"16.4% (47/286)","16.7% (3/18)",-3.8,"13.5% (23/171)","9.7% (3/31)",-8.1,"29.5% (26/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"625","comorb_isaric_neoplasm",-7.9,"7.9% (15/190)","0% (0/3)",-10,"10% (22/220)","0% (0/9)",-4.6,"10.1% (29/286)","5.6% (1/18)",4.7,"8.2% (14/171)","12.9% (4/31)",-11,"18.2% (16/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"626","comorb_neuro",-10.5,"10.5% (20/190)","0% (0/3)",1.1,"10% (22/220)","11.1% (1/9)",-3.6,"14.7% (42/286)","11.1% (2/18)",-8.5,"11.7% (20/171)","3.2% (1/31)",-8.8,"15.9% (14/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"627","comorb_isaric_liver",-4.7,"4.7% (9/190)","0% (0/3)",5.7,"5.5% (12/220)","11.1% (1/9)",1.7,"3.8% (11/286)","5.6% (1/18)",7.6,"5.3% (9/171)","12.9% (4/31)",-4.5,"4.5% (4/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"628","comorb_hxtrans",-3.7,"3.7% (7/190)","0% (0/3)",5.2,"5.9% (13/220)","11.1% (1/9)",-1.1,"6.6% (19/286)","5.6% (1/18)",-3.8,"7% (12/171)","3.2% (1/31)",-4.5,"4.5% (4/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"629","comorb_hiv2",30.7,"2.6% (5/190)","33.3% (1/3)",0,"0% (0/220)","0% (0/9)",-1.4,"1.4% (4/286)","0% (0/18)",-1.2,"1.2% (2/171)","0% (0/31)",-1.1,"1.1% (1/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"630","comorb_eversmkvape",36.1,"30.5% (58/190)","66.7% (2/3)",3.3,"30% (66/220)","33.3% (3/9)",-27,"32.5% (93/286)","5.6% (1/18)",-10.2,"32.7% (56/171)","22.6% (7/31)",-20.3,"48.9% (43/88)","28.6% (4/14)","Human gammaherpesvirus 4 (EBV).nasal"
"631","comorb_anysubstance",24.4,"8.9% (17/190)","33.3% (1/3)",-5.9,"5.9% (13/220)","0% (0/9)",-7.7,"7.7% (22/286)","0% (0/18)",7.6,"5.3% (9/171)","12.9% (4/31)",-9.1,"9.1% (8/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"632","comorb_count",-16.8,"16.8% (32/190)","0% (0/3)",-4.8,"15.9% (35/220)","11.1% (1/9)",5.4,"16.8% (48/286)","22.2% (4/18)",6.2,"9.9% (17/171)","16.1% (5/31)",9.7,"4.5% (4/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"633","comorb_countcat",-16.8,"16.8% (32/190)","0% (0/3)",-4.8,"15.9% (35/220)","11.1% (1/9)",5.4,"16.8% (48/286)","22.2% (4/18)",6.2,"9.9% (17/171)","16.1% (5/31)",9.7,"4.5% (4/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"634","timesymptomcat",-23.7,"23.7% (45/190)","0% (0/3)",2.7,"19.5% (43/220)","22.2% (2/9)",8.2,"19.6% (56/286)","27.8% (5/18)",-8.5,"18.1% (31/171)","9.7% (3/31)",-5.8,"27.3% (24/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"635","symptom_allresp",-14.9,"81.6% (155/190)","66.7% (2/3)",9.5,"90.5% (199/220)","100% (9/9)",-2.3,"85.7% (245/286)","83.3% (15/18)",-5.3,"92.4% (158/171)","87.1% (27/31)",-22.1,"86.4% (76/88)","64.3% (9/14)","Human gammaherpesvirus 4 (EBV).nasal"
"636","symptom_cough",-27.2,"60.5% (115/190)","33.3% (1/3)",34.1,"65.9% (145/220)","100% (9/9)",-16.4,"60.8% (174/286)","44.4% (8/18)",-8.6,"60.2% (103/171)","51.6% (16/31)",14.3,"50% (44/88)","64.3% (9/14)","Human gammaherpesvirus 4 (EBV).nasal"
"637","symptom_cough_prod",-15.3,"15.3% (29/190)","0% (0/3)",-3.9,"15% (33/220)","11.1% (1/9)",17.2,"16.1% (46/286)","33.3% (6/18)",-7.3,"10.5% (18/171)","3.2% (1/31)",-0.5,"14.8% (13/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"638","symptom_haemoptysis",-3.7,"3.7% (7/190)","0% (0/3)",-1.8,"1.8% (4/220)","0% (0/9)",3.8,"1.7% (5/286)","5.6% (1/18)",2.1,"1.2% (2/171)","3.2% (1/31)",-1.1,"1.1% (1/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"639","symptom_sorethroat",23.3,"10% (19/190)","33.3% (1/3)",-8.6,"8.6% (19/220)","0% (0/9)",-8,"8% (23/286)","0% (0/18)",1.5,"8.2% (14/171)","9.7% (3/31)",2.6,"4.5% (4/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"640","symptom_rhinorrhea",-8.4,"8.4% (16/190)","0% (0/3)",-2.3,"2.3% (5/220)","0% (0/9)",-6.6,"6.6% (19/286)","0% (0/18)",6.2,"3.5% (6/171)","9.7% (3/31)",3.7,"3.4% (3/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"641","symptom_wheeze",-4.2,"4.2% (8/190)","0% (0/3)",-4.1,"4.1% (9/220)","0% (0/9)",-4.9,"4.9% (14/286)","0% (0/18)",7.1,"5.8% (10/171)","12.9% (4/31)",0.3,"6.8% (6/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"642","symptom_chestpain",8.6,"24.7% (47/190)","33.3% (1/3)",-11.2,"22.3% (49/220)","11.1% (1/9)",-1.5,"18.2% (52/286)","16.7% (3/18)",6.8,"15.8% (27/171)","22.6% (7/31)",10.1,"11.4% (10/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"643","symptom_dyspnea",-28.8,"62.1% (118/190)","33.3% (1/3)",-7.4,"74.1% (163/220)","66.7% (6/9)",3.7,"68.5% (196/286)","72.2% (13/18)",-0.1,"80.7% (138/171)","80.6% (25/31)",-30.7,"80.7% (71/88)","50% (7/14)","Human gammaherpesvirus 4 (EBV).nasal"
"644","symptom_chestwall",0,"0% (0/190)","0% (0/3)",0,"0% (0/219)","0% (0/9)",0,"0% (0/285)","0% (0/18)",3.2,"0% (0/171)","3.2% (1/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"645","symptom_earpain",0,"0% (0/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",-0.3,"0.3% (1/286)","0% (0/18)",-0.6,"0.6% (1/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"646","symptom_conjunctivitis",0,"0% (0/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",-0.3,"0.3% (1/286)","0% (0/18)",0,"0% (0/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"647","symptom_allsyst",-10.7,"77.4% (147/190)","66.7% (2/3)",-2.2,"80% (176/220)","77.8% (7/9)",1.2,"71% (203/286)","72.2% (13/18)",-8,"66.1% (113/171)","58.1% (18/31)",-20.8,"63.6% (56/88)","42.9% (6/14)","Human gammaherpesvirus 4 (EBV).nasal"
"648","symptom_fever",-51.1,"51.1% (97/190)","0% (0/3)",-12.8,"57.3% (126/220)","44.4% (4/9)",1.4,"48.6% (139/286)","50% (9/18)",0.1,"45% (77/171)","45.2% (14/31)",-16.9,"45.5% (40/88)","28.6% (4/14)","Human gammaherpesvirus 4 (EBV).nasal"
"649","symptom_chills",-24.7,"24.7% (47/190)","0% (0/3)",-6.9,"29.1% (64/220)","22.2% (2/9)",6.1,"27.3% (78/286)","33.3% (6/18)",5.6,"17% (29/171)","22.6% (7/31)",10.1,"11.4% (10/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"650","symptom_shaking",-0.5,"0.5% (1/190)","0% (0/3)",-1.8,"1.8% (4/220)","0% (0/9)",-0.7,"0.7% (2/285)","0% (0/18)",-1.2,"1.2% (2/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"651","symptom_fatigue",20.4,"46.3% (88/190)","66.7% (2/3)",-2.4,"46.8% (103/220)","44.4% (4/9)",-2.4,"41.3% (118/286)","38.9% (7/18)",-9,"38% (65/171)","29% (9/31)",-10.4,"31.8% (28/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"652","symptom_myalgia",3.9,"29.5% (56/190)","33.3% (1/3)",-9.6,"31.8% (70/220)","22.2% (2/9)",1.6,"20.6% (59/286)","22.2% (4/18)",-7.6,"20.5% (35/171)","12.9% (4/31)",-11.4,"11.4% (10/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"653","symptom_lymphadenopathy",0,"0% (0/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",0,"0% (0/286)","0% (0/18)",0,"0% (0/171)","0% (0/31)",7.1,"0% (0/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"654","symptom_allneuro",-35.3,"35.3% (67/190)","0% (0/3)",-20.3,"31.4% (69/220)","11.1% (1/9)",-1.6,"29.4% (84/286)","27.8% (5/18)",15.9,"29.2% (50/171)","45.2% (14/31)",10.7,"25% (22/88)","35.7% (5/14)","Human gammaherpesvirus 4 (EBV).nasal"
"655","symptom_headache",-22.6,"22.6% (43/190)","0% (0/3)",-19.5,"19.5% (43/220)","0% (0/9)",-5,"16.1% (46/286)","11.1% (2/18)",5.6,"17% (29/171)","22.6% (7/31)",-4.5,"4.5% (4/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"656","symptom_confusion",-3.2,"3.2% (6/190)","0% (0/3)",-2.7,"2.7% (6/220)","0% (0/9)",1,"4.5% (13/286)","5.6% (1/18)",0.9,"8.8% (15/171)","9.7% (3/31)",10.1,"11.4% (10/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"657","symptom_seizure",0,"0% (0/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",-0.3,"0.3% (1/286)","0% (0/18)",-0.6,"0.6% (1/171)","0% (0/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"658","symptom_syncope",-3.7,"3.7% (7/190)","0% (0/3)",-0.9,"0.9% (2/220)","0% (0/9)",4.2,"1.4% (4/286)","5.6% (1/18)",-0.6,"0.6% (1/171)","0% (0/31)",4.9,"2.3% (2/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"659","symptom_anosmia",-14.7,"14.7% (28/190)","0% (0/3)",-0.3,"11.4% (25/220)","11.1% (1/9)",0.3,"10.8% (31/286)","11.1% (2/18)",10.3,"5.8% (10/171)","16.1% (5/31)",6.3,"8% (7/88)","14.3% (2/14)","Human gammaherpesvirus 4 (EBV).nasal"
"660","symptom_allGI",-47.4,"47.4% (90/190)","0% (0/3)",-14.8,"48.2% (106/220)","33.3% (3/9)",3.2,"35.7% (102/286)","38.9% (7/18)",-1.4,"30.4% (52/171)","29% (9/31)",-9.3,"30.7% (27/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"661","symptom_abdpain",-12.1,"12.1% (23/190)","0% (0/3)",-10.5,"10.5% (23/220)","0% (0/9)",8.6,"8% (23/286)","16.7% (3/18)",2.1,"7.6% (13/171)","9.7% (3/31)",15.7,"5.7% (5/88)","21.4% (3/14)","Human gammaherpesvirus 4 (EBV).nasal"
"662","symptom_nausea",-29.5,"29.5% (56/190)","0% (0/3)",-8.2,"30.5% (67/220)","22.2% (2/9)",-2.6,"19.2% (55/286)","16.7% (3/18)",5.3,"14% (24/171)","19.4% (6/31)",-6.5,"13.6% (12/88)","7.1% (1/14)","Human gammaherpesvirus 4 (EBV).nasal"
"663","symptom_diarrhea",-24.7,"24.7% (47/190)","0% (0/3)",-15.3,"26.4% (58/220)","11.1% (1/9)",-0.2,"22.4% (64/286)","22.2% (4/18)",-5.2,"18.1% (31/171)","12.9% (4/31)",-17,"17% (15/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"664","symptom_allderm",-0.5,"0.5% (1/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",-0.7,"0.7% (2/286)","0% (0/18)",1.5,"1.8% (3/171)","3.2% (1/31)",-1.1,"1.1% (1/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"665","symptom_skinrash",-0.5,"0.5% (1/190)","0% (0/3)",-0.5,"0.5% (1/220)","0% (0/9)",-0.7,"0.7% (2/286)","0% (0/18)",2.6,"0.6% (1/171)","3.2% (1/31)",0,"0% (0/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
"666","symptom_skinulcer",0,"0% (0/190)","0% (0/3)",0,"0% (0/220)","0% (0/9)",0,"0% (0/286)","0% (0/18)",-1.2,"1.2% (2/171)","0% (0/31)",-1.1,"1.1% (1/88)","0% (0/14)","Human gammaherpesvirus 4 (EBV).nasal"
