"","virus","OR_values","2.5 %","97.5 %","variable"
"218","Human alphaherpesvirus 1 (HSV1).nasal",0.398785065811635,0.231714799727053,0.686315802450765,"comorb_eversmkvape"
"219","Human alphaherpesvirus 1 (HSV1).nasal",0.846100039780424,0.362692907787717,1.97380555821467,"comorb_anysubstance"
"220","Human alphaherpesvirus 1 (HSV1).nasal",0.83070832840217,0.355841080763023,1.93928234872997,"comorb_count"
"221","Human alphaherpesvirus 1 (HSV1).nasal",0.83070832840217,0.355841080763023,1.93928234872997,"comorb_countcat"
"222","Human alphaherpesvirus 1 (HSV1).nasal",0.905675479417338,0.538838919816537,1.52225098049172,"timesymptomcat"
"223","Human alphaherpesvirus 1 (HSV1).nasal",0.909016276672044,0.475904827548904,1.73629377854923,"symptom_allresp"
"224","Human alphaherpesvirus 1 (HSV1).nasal",0.822052259870977,0.528727426398169,1.27810641971517,"symptom_cough"
"225","Human alphaherpesvirus 1 (HSV1).nasal",0.834711868799913,0.427939769067785,1.62813543932413,"symptom_cough_prod"
"226","Human alphaherpesvirus 1 (HSV1).nasal",0.507238737063733,0.0653450374354824,3.9374242708491,"symptom_haemoptysis"
"227","Human alphaherpesvirus 1 (HSV1).nasal",1.0471734338764,0.489642356588775,2.23953705364883,"symptom_sorethroat"
"228","Human alphaherpesvirus 1 (HSV1).nasal",1.30070210029168,0.517532574656906,3.26902312347154,"symptom_rhinorrhea"
"229","Human alphaherpesvirus 1 (HSV1).nasal",2.70859503161669,1.31991346278837,5.55830912566038,"symptom_wheeze"
"230","Human alphaherpesvirus 1 (HSV1).nasal",1.191768369407,0.693951799730521,2.04670100556055,"symptom_chestpain"
"231","Human alphaherpesvirus 1 (HSV1).nasal",1.03262664531536,0.626766873969199,1.7012988926209,"symptom_dyspnea"
"232","Human alphaherpesvirus 1 (HSV1).nasal",0.000000000251521753952408,0,Inf,"symptom_chestwall"
"233","Human alphaherpesvirus 1 (HSV1).nasal",4.55370340673036,0.36153699745161,57.3557197814675,"symptom_earpain"
"234","Human alphaherpesvirus 1 (HSV1).nasal",0.824688931577299,0,Inf,"symptom_conjunctivitis"
"235","Human alphaherpesvirus 1 (HSV1).nasal",1.14760614645942,0.696601205377757,1.89060807995191,"symptom_allsyst"
"236","Human alphaherpesvirus 1 (HSV1).nasal",1.18651382252599,0.759050067375969,1.85470644368959,"symptom_fever"
"237","Human alphaherpesvirus 1 (HSV1).nasal",1.38469471940632,0.839893058488631,2.28288523946374,"symptom_chills"
