"","variable","numDF","denDF","F-value","p-value","feature","omic","virus","level","coefficient","p.adj"
"2674","discretized_admit_age_quantile",4,3168,5.51594898116157,0.000200948961620706,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.000427016543444
"2675","virus_positive",1,3168,0.941899225043758,0.33186397771365,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.422889071014508,0.944444889952709
"2676","event_type",11,3168,9.32247520274979,1.11022302462516e-16,"NK Cell (CD56low CD16hi CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,2.69625591694681e-16
"2677","(Intercept)",1,3168,0.041811971558166,0.837991743581566,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.0688317859526167,0.909310189843826
"2678","trajectory_group",1,3168,2.49045253905213,0.114638625322931,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0276521784923815,0.23386279565878
"2679","sex",1,3168,1.61795971147971,0.203469873434277,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.296484672718518
"2680","discretized_admit_age_quantile",4,3168,0.465909922064457,0.760813506336901,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.776029776463639
"2681","virus_positive",1,3168,0.0937390103018344,0.759496647505458,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.139585506795735,0.987046781290671
"2682","event_type",11,3168,1.42891130860215,0.152582685771744,"Plasmacytoid DC","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.180970162194394
"2683","(Intercept)",1,3168,0.488975435758328,0.484436031162127,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.231931781720183,0.725024789156782
"2684","trajectory_group",1,3168,5.66155686347528,0.017399607361535,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0419084885624692,0.042256189306585
"2685","sex",1,3168,1.29025151880238,0.256087526078535,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.352985508919062
"2686","discretized_admit_age_quantile",4,3168,1.64539259449274,0.160014132417389,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.199041969592362
"2687","virus_positive",1,3168,0.0516936622747734,0.82015662385202,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.101489547630683,0.987046781290671
"2688","event_type",11,3168,2.61952429814945,0.00250368412050239,"Tier2_Bcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.00345102405798978
"2689","(Intercept)",1,3168,0.0715046780489733,0.789175844845229,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.0901509635600513,0.87495582798058
"2690","trajectory_group",1,3168,0.315786489820234,0.574190635860457,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.010039071184666,0.711660220389013
"2691","sex",1,3168,1.14945675123497,0.28374456388673,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.371050583544186
"2692","discretized_admit_age_quantile",4,3168,0.631568339086235,0.639974869164098,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.709537354942805
"2693","virus_positive",1,3168,0.0139692531999889,0.90592334225576,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0537117078544736,0.987046781290671
"2694","event_type",11,3168,2.76721268374765,0.00140247638026925,"Tier2_NK_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.00198684153871477
"2695","(Intercept)",1,3168,0.736984088575604,0.390693644562371,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.255351528572535,0.642754060409062
"2696","trajectory_group",1,3168,0.0722322584151234,0.788131417480846,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.00425189518421494,0.822134733221775
"2697","sex",1,3168,10.0761497422035,0.00151640694541499,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.00515578361441098
"2698","discretized_admit_age_quantile",4,3168,1.26714873698078,0.280577919856544,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.340701759825803
"2699","virus_positive",1,3168,3.74429390128005,0.053077017463778,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.771264110586057,0.644168670969133
"2700","event_type",11,3168,0.771900632318497,0.668708153993263,"Tier2_Tcell_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.710502413617842
"2701","(Intercept)",1,3168,0.00854962527632668,0.926335092953237,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.0312366225390788,0.94600897325508
"2702","trajectory_group",1,3168,0.830176036126061,0.362290953158429,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0155833865689591,0.559904200335754
"2703","sex",1,3168,0.612373304593695,0.433954103641031,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.526944268706967
"2704","discretized_admit_age_quantile",4,3168,0.527926769843874,0.715228750646183,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.776029776463639
"2705","virus_positive",1,3168,0.000263622207572531,0.987046781290671,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.00745578435608847,0.987046781290671
"2706","event_type",11,3168,0.450235225998919,0.933290793833115,"Tier3_CD4_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.933290793833115
"2707","(Intercept)",1,3168,0.781204919625253,0.376839954963038,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.288410679923446,0.642754060409062
"2708","trajectory_group",1,3168,0.116071944617993,0.733357051597141,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.00591091735184905,0.81306977459683
"2709","sex",1,3168,2.80510531843033,0.0940633713772113,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.159907731341259
"2710","discretized_admit_age_quantile",4,3168,2.35555185392586,0.0516043885125417,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.071130373355125
"2711","virus_positive",1,3168,0.373132044011026,0.541345787833779,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.267740213390619,0.944444889952709
"2712","event_type",11,3168,2.24066735617114,0.0104738290891442,"Tier3_CD8_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.0136965457319578
"2713","(Intercept)",1,3168,0.0082898367170091,0.927459777701059,"Tier4_Treg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0307116908728938,0.94600897325508
"2714","trajectory_group",1,3168,0.353464312936194,0.552201043238142,"Tier4_Treg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0101528913167052,0.711660220389013
"2715","sex",1,3168,6.15953858167336,0.0131219991733218,"Tier4_Treg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.0334610978919706
"2716","discretized_admit_age_quantile",4,3168,0.416537470341942,0.796841080398915,"Tier4_Treg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.796841080398915
"2717","virus_positive",1,3168,0.0861831686541922,0.769105961938018,"Tier4_Treg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.134602703196355,0.987046781290671
"2718","event_type",11,3168,0.457187441105332,0.929596718730441,"Tier4_Treg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.933290793833115
"2719","(Intercept)",1,3168,0.484002511204401,0.486665945513143,"Tier4_nonTreg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.228302244329034,0.725024789156782
"2720","trajectory_group",1,3168,0.915358538778425,0.33876962980375,"Tier4_nonTreg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0166991496447594,0.539914097499727
"2721","sex",1,3168,0.811307679390511,0.367802383130364,"Tier4_nonTreg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.457510281454843
"2722","discretized_admit_age_quantile",4,3168,4.25172285150458,0.00196190919967076,"Tier4_nonTreg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.003705828488267
"2723","virus_positive",1,3168,0.534027800569689,0.464972434163366,"Tier4_nonTreg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.321552483349207,0.944444889952709
"2724","event_type",11,3168,4.02803377169848,7.08256938430907e-06,"Tier4_nonTreg_Undefined","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,1.3378186614806e-05
"2725","(Intercept)",1,3168,0.0195708439478084,0.888751187135185,"gd T Cell","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0442794494556617,0.944298136331134
"2726","trajectory_group",1,3168,3.48058686037711,0.062185075356199,"gd T Cell","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0313390820551285,0.132143285131923
"2727","sex",1,3168,0.0210905444723232,0.8845418037834,"gd T Cell","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.899611682234106
"2728","discretized_admit_age_quantile",4,3168,9.07943688171537,2.73049989285568e-07,"gd T Cell","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,9.2836996357093e-07
"2729","virus_positive",1,3168,0.00168920571828597,0.967218806044059,"gd T Cell","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0173268587368976,0.987046781290671
"2730","event_type",11,3168,2.05753023131681,0.0202173732504624,"gd T Cell","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.0257771508943395
"2731","(Intercept)",1,3168,5.37731591849345,0.0204635625356113,"Basophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.624888262741465,0.113905576506949
"2732","trajectory_group",1,3168,5.6773835876544,0.017243616400451,"Basophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.0340579597906769,0.042256189306585
"2733","sex",1,3168,4.29558225925171,0.0382922028193122,"Basophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.0781160937513969
"2734","discretized_admit_age_quantile",4,3168,0.992930215110441,0.410014890998462,"Basophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.475244532748218
"2735","virus_positive",1,3168,2.39911851472647,0.121503527142808,"Basophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.562275717283741,0.644168670969133
"2736","event_type",11,3168,117.334250214609,0,"Basophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0
"2737","(Intercept)",1,3168,2.02253658612048,0.155078506078469,"Eosinophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.427456526295066,0.359500173181905
"2738","trajectory_group",1,3168,0.275010143202092,0.600027244641717,"Eosinophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.00837655620540705,0.711660220389013
"2739","sex",1,3168,4.67037155046562,0.030761993140081,"Eosinophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.0682113760932231
"2740","discretized_admit_age_quantile",4,3168,2.79620300725708,0.0247327356861305,"Eosinophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.0394177974997706
"2741","virus_positive",1,3168,0.218607191265158,0.640135382893216,"Eosinophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.18895199991044,0.960203074339824
"2742","event_type",11,3168,48.5164634186997,0,"Eosinophil","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0
"2743","(Intercept)",1,3168,0.460230042536262,0.497566031774262,"Neutrophil (CD16hi)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.207213166118685,0.725024789156782
"2744","trajectory_group",1,3168,41.8173278636398,1.15649712029153e-10,"Neutrophil (CD16hi)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.104946988022777,6.55348368165202e-10
"2745","sex",1,3168,10.9406720237286,0.000951264492960346,"Neutrophil (CD16hi)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.00346532065292698
"2746","discretized_admit_age_quantile",4,3168,11.9078713848874,1.32570754374228e-09,"Neutrophil (CD16hi)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,6.14646224825968e-09
"2747","virus_positive",1,3168,2.87970738625939,0.0898005505023279,"Neutrophil (CD16hi)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.697112738462726,0.644168670969133
"2748","event_type",11,3168,22.5935185600764,0,"Neutrophil (CD16hi)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0
"2749","(Intercept)",1,3168,3.16292672359987,0.0754239038740381,"Neutrophil (CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",-0.560055482858504,0.226271711622114
"2750","trajectory_group",1,3168,65.4023240811946,8.88178419700125e-16,"Neutrophil (CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.135132914937757,1.50990331349021e-14
"2751","sex",1,3168,0.268825425009366,0.604156988070632,"Neutrophil (CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.704534116534426
"2752","discretized_admit_age_quantile",4,3168,2.06769448722583,0.0824186401549278,"Neutrophil (CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0.107778221741059
"2753","virus_positive",1,3168,0.340070449916267,0.559830068367889,"Neutrophil (CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",0.247320494045168,0.944444889952709
"2754","event_type",11,3168,17.8200719848047,0,"Neutrophil (CD16low)","CyTOF","Human gammaherpesvirus 4 (EBV).ea","child",NA,0
"2755","(Intercept)",1,3168,0.294481916123013,0.587400797597576,"B Cell (CD11c+ CXCR5-)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.178414555302381,0.788353702038852
"2756","trajectory_group",1,3168,5.84279748512325,0.0156970655159634,"B Cell (CD11c+ CXCR5-)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.0420411270760189,0.0421342284902175
"2757","sex",1,3168,0.0328347264813247,0.8562193999847,"B Cell (CD11c+ CXCR5-)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.897151273162756
"2758","discretized_admit_age_quantile",4,3168,15.4449288474539,1.61937130371825e-12,"B Cell (CD11c+ CXCR5-)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,1.03234920612039e-11
"2759","virus_positive",1,3168,1.32044240302778,0.250599416385305,"B Cell (CD11c+ CXCR5-)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.33054903775793,0.67266159135003
"2760","event_type",11,3168,1.91028722974802,0.0336466468382421,"B Cell (CD11c+ CXCR5-)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.0418531460670817
"2761","(Intercept)",1,3168,1.20511106324415,0.272385958111753,"B Cell (CD27+ non-switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.366442100597706,0.534295533219207
"2762","trajectory_group",1,3168,0.296853501110484,0.585900100948561,"B Cell (CD27+ non-switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.00966600325127074,0.713377914109978
"2763","sex",1,3168,3.80483698219835,0.0511928108597016,"B Cell (CD27+ non-switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.0932440483515994
"2764","discretized_admit_age_quantile",4,3168,2.6308958714509,0.0326669552857812,"B Cell (CD27+ non-switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.0490004329286718
"2765","virus_positive",1,3168,2.0094574445548,0.156419556493998,"B Cell (CD27+ non-switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.412766567925275,0.531826492079594
"2766","event_type",11,3168,0.888688437665203,0.550789119878817,"B Cell (CD27+ non-switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.597664789655737
"2767","(Intercept)",1,3168,4.43284537644866,0.0353322115772776,"B Cell (CD27+ switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.698504679534271,0.149656374431058
"2768","trajectory_group",1,3168,0.140685037908483,0.707626047721287,"B Cell (CD27+ switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.00662016142237604,0.792974172129947
"2769","sex",1,3168,9.28505867006294,0.00232935715428861,"B Cell (CD27+ switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.00742482592929496
"2770","discretized_admit_age_quantile",4,3168,9.40598273004336,1.47999740351956e-07,"B Cell (CD27+ switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,5.39141911282126e-07
"2771","virus_positive",1,3168,0.248156046016971,0.61841104470345,"B Cell (CD27+ switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.143535700770659,0.841482560883482
"2772","event_type",11,3168,2.83604026858521,0.00106669189054487,"B Cell (CD27+ switched memory)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.00155432246907967
"2773","(Intercept)",1,3168,5.04770190408379,0.0247272197843545,"B Cell (CD71+ activated)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.692733843175753,0.114644382636553
"2774","trajectory_group",1,3168,1.41809519225718,0.233806396866251,"B Cell (CD71+ activated)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.0193741419952018,0.411176766902718
"2775","sex",1,3168,0.0176415572276233,0.894342967001367,"B Cell (CD71+ activated)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.897151273162756
"2776","discretized_admit_age_quantile",4,3168,3.22012894323513,0.0119885103745084,"B Cell (CD71+ activated)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.0203804676366643
"2777","virus_positive",1,3168,0.282156640757643,0.595328387895366,"B Cell (CD71+ activated)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.14341896954737,0.841482560883482
"2778","event_type",11,3168,3.78960368019889,1.9980285074217e-05,"B Cell (CD71+ activated)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,3.28707915737119e-05
"2779","(Intercept)",1,3168,0.418380403943871,0.51779315904842,"B Cell (Plasmablast)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.190041400322021,0.733540308651928
"2780","trajectory_group",1,3168,7.30859032528218,0.00689921950269035,"B Cell (Plasmablast)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.0421675762509238,0.019547788590956
"2781","sex",1,3168,3.83202646098145,0.0503697806942922,"B Cell (Plasmablast)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.0932440483515994
"2782","discretized_admit_age_quantile",4,3168,2.00771867970074,0.0907304521569133,"B Cell (Plasmablast)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.115681326500064
"2783","virus_positive",1,3168,0.56108431675503,0.453879296727558,"B Cell (Plasmablast)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.192188422945309,0.829277558213893
"2784","event_type",11,3168,80.0370761789201,0,"B Cell (Plasmablast)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0
"2785","(Intercept)",1,3168,4.22027636632985,0.0400255236876608,"B Cell (naive)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.652336452185543,0.149656374431058
"2786","trajectory_group",1,3168,12.2969619237717,0.000459997158433811,"B Cell (naive)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.0592443454318717,0.00156399033867496
"2787","sex",1,3168,2.02082808645111,0.155252940832072,"B Cell (naive)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.239936363104111
"2788","discretized_admit_age_quantile",4,3168,28.5626430385723,0,"B Cell (naive)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0
"2789","virus_positive",1,3168,3.84284843914298,0.0500461012229289,"B Cell (naive)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.541585796577519,0.232031923851761
"2790","event_type",11,3168,18.0668463363774,0,"B Cell (naive)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0
"2791","(Intercept)",1,3168,8.76850845558658,0.00308751948847696,"B Cell (transitional)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.94836611700306,0.0524878313041084
"2792","trajectory_group",1,3168,0.316899460477362,0.573516776348723,"B Cell (transitional)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.00959234205644079,0.713377914109978
"2793","sex",1,3168,12.3288239149463,0.000452241771912609,"B Cell (transitional)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.00177417925904177
"2794","discretized_admit_age_quantile",4,3168,26.209957555693,0,"B Cell (transitional)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0
"2795","virus_positive",1,3168,0.0430698938882007,0.835607060612899,"B Cell (transitional)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.0577625948426531,0.917039369280014
"2796","event_type",11,3168,8.85990992234164,1.11022302462516e-15,"B Cell (transitional)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,2.46179888069056e-15
"2797","(Intercept)",1,3168,1.31580145081202,0.251433574100502,"CD4+ NKT Cell","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.382029231318048,0.512924491165024
"2798","trajectory_group",1,3168,0.621114188430858,0.43069251249259,"CD4+ NKT Cell","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.0137374693112518,0.644347286148281
"2799","sex",1,3168,7.56102126554257,0.00599827358227101,"CD4+ NKT Cell","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.0169951084831012
"2800","discretized_admit_age_quantile",4,3168,5.55269729752528,0.000187937315158537,"CD4+ NKT Cell","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.000416730568395017
"2801","virus_positive",1,3168,0.474552560790132,0.490950645138535,"CD4+ NKT Cell","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.201241826759573,0.829277558213893
"2802","event_type",11,3168,0.958733215106516,0.482260515656678,"CD4+ NKT Cell","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.534680136923708
"2803","(Intercept)",1,3168,0.0843687922698534,0.771481014833049,"CD4+ T Cell (CM)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.0923923270829435,0.874345150144123
"2804","trajectory_group",1,3168,56.3528136071098,7.82707232360735e-14,"CD4+ T Cell (CM)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.126621995730743,9.71622782230952e-13
"2805","sex",1,3168,29.6863249347017,5.46774631127178e-08,"CD4+ T Cell (CM)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,3.98364374106944e-07
"2806","discretized_admit_age_quantile",4,3168,5.43379829717284,0.000233358771570158,"CD4+ T Cell (CM)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.000476051894003122
"2807","virus_positive",1,3168,4.36874142703707,0.03668355744695,"CD4+ T Cell (CM)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.573314740862126,0.207873492199383
"2808","event_type",11,3168,9.06680429814709,4.44089209850063e-16,"CD4+ T Cell (CM)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,1.02947953192515e-15
"2809","(Intercept)",1,3168,0.94482677040556,0.33111381162273,"CD4+ T Cell (EM CD27hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.273684955424429,0.603100156884258
"2810","trajectory_group",1,3168,91.4738691534887,0,"CD4+ T Cell (EM CD27hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.142708255085358,0
"2811","sex",1,3168,40.5641372472412,2.17777795796792e-10,"CD4+ T Cell (EM CD27hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,2.7766668964091e-09
"2812","discretized_admit_age_quantile",4,3168,15.8376234561588,7.67830243830758e-13,"CD4+ T Cell (EM CD27hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,6.52655707256145e-12
"2813","virus_positive",1,3168,4.83013504196197,0.0280385585770299,"CD4+ T Cell (EM CD27hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.533090075082388,0.204280926775503
"2814","event_type",11,3168,62.2350094320767,0,"CD4+ T Cell (EM CD27hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0
"2815","(Intercept)",1,3168,1.41839877260511,0.233756361530204,"CD4+ T Cell (EM CD27low)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.363399845675648,0.496732268251684
"2816","trajectory_group",1,3168,55.9587913057218,9.52571355128384e-14,"CD4+ T Cell (EM CD27low)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.120611544227047,9.71622782230952e-13
"2817","sex",1,3168,12.88063148094,0.00033703067362878,"CD4+ T Cell (EM CD27low)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.00143238036292231
"2818","discretized_admit_age_quantile",4,3168,2.22061858207264,0.0643575606821918,"CD4+ T Cell (EM CD27low)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.0863746209155732
"2819","virus_positive",1,3168,5.55311162672966,0.0185084254568972,"CD4+ T Cell (EM CD27low)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.616986098331637,0.188785939660352
"2820","event_type",11,3168,38.357117392077,0,"CD4+ T Cell (EM CD27low)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0
"2821","(Intercept)",1,3168,4.17603193376417,0.0410821420006826,"CD4+ T Cell (EM CD57hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.676020388944636,0.149656374431058
"2822","trajectory_group",1,3168,0.00854808190517962,0.926341723285433,"CD4+ T Cell (EM CD57hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.00162165958908094,0.929520203207112
"2823","sex",1,3168,13.1726645755592,0.000288552247827756,"CD4+ T Cell (EM CD57hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,0.0013378331490196
"2824","discretized_admit_age_quantile",4,3168,13.4078766075862,7.74122987934334e-11,"CD4+ T Cell (EM CD57hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,4.38669693162789e-10
"2825","virus_positive",1,3168,0.43466225060211,0.50975799487508,"CD4+ T Cell (EM CD57hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",0.188032584261392,0.829277558213893
"2826","event_type",11,3168,3.5893595707524,4.72010157631653e-05,"CD4+ T Cell (EM CD57hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",NA,7.29470243612554e-05
"2827","(Intercept)",1,3168,3.62157848005797,0.0571252989389518,"CD4+ T Cell (EMRA CD57hi)","CyTOF","Human betaherpesvirus 5 (CMV).ea","child",-0.633578139631289,0.182086890367909
