"","variable","numDF","denDF","F-value","p-value","feature","omic","virus","level","coefficient","p.adj"
"83","virus_positive",1,3168,0.0467648698010367,0.828805349147255,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0133016561451564,0.939312729033555
"84","event_type",11,3168,0.635448071103891,0.799719542005496,"CD4+ T Cell (EMRA CD57low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.832361155964904
"85","(Intercept)",1,3168,5.27242276774689,0.021730827278488,"CD4+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.701077295433785,0.120725720922001
"86","trajectory_group",1,3168,10.6606781048588,0.00110601754555795,"CD4+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0522228980456744,0.00376045965489702
"87","sex",1,3168,0.0494411106313982,0.824052985108732,"CD4+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.874456238454451
"88","discretized_admit_age_quantile",4,3168,7.21667989249362,8.80714308548747e-06,"CD4+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,2.49535720755478e-05
"89","virus_positive",1,3168,14.1539692708234,0.00017149073516598,"CD4+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.205475020931274,0.00291534249782166
"90","event_type",11,3168,35.3623331515388,0,"CD4+ T Cell (activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"91","(Intercept)",1,3168,2.21061403785033,0.137163619319595,"CD4+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.480992870343718,0.333669516886208
"92","trajectory_group",1,3168,14.3178521655371,0.000157250450335322,"CD4+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0652496860236171,0.000616905612853957
"93","sex",1,3168,31.583824734263,2.07565042931179e-08,"CD4+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,1.76430286491502e-07
"94","discretized_admit_age_quantile",4,3168,11.1404121187773,5.65169977484459e-09,"CD4+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,2.40197240430895e-08
"95","virus_positive",1,3168,0.0029397490381364,0.95676374132702,"CD4+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.00321463676356854,0.961596715344851
"96","event_type",11,3168,3.7982725734601,1.92456750125469e-05,"CD4+ T Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,3.38458422634446e-05
"97","(Intercept)",1,3168,0.0973792383070358,0.75501814651095,"CD4+ Treg (CD39hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.101277196425974,0.85568723271241
"98","trajectory_group",1,3168,4.81897348312459,0.0282204033177291,"CD4+ Treg (CD39hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0376388026317009,0.0685352652001993
"99","sex",1,3168,5.07647598950513,0.0243207483588945,"CD4+ Treg (CD39hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0563799166501646
"100","discretized_admit_age_quantile",4,3168,8.40022377997731,9.73168940987534e-07,"CD4+ Treg (CD39hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,2.9195068229626e-06
"101","virus_positive",1,3168,0.035268574897386,0.851046016316367,"CD4+ Treg (CD39hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0110090438035492,0.943551018089885
"102","event_type",11,3168,2.9075111982079,0.000800997161427119,"CD4+ Treg (CD39hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00116716729236523
"103","(Intercept)",1,3168,0.159856245178964,0.689315857343293,"CD4+ Treg (CD39low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.132475144784651,0.85568723271241
"104","trajectory_group",1,3168,2.08817301400202,0.14854240320948,"CD4+ Treg (CD39low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0254914383390971,0.27055937727441
"105","sex",1,3168,1.74191989553358,0.186991108980826,"CD4+ Treg (CD39low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.280486663471239
"106","discretized_admit_age_quantile",4,3168,0.501980178546779,0.734302425937614,"CD4+ Treg (CD39low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.774992193497946
"107","virus_positive",1,3168,3.1978997873894,0.0738284328478781,"CD4+ Treg (CD39low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.109021117232766,0.209180559735655
"108","event_type",11,3168,4.67257358591985,4.03567337992072e-07,"CD4+ Treg (CD39low)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,7.91612855292142e-07
"109","(Intercept)",1,3168,0.135214665663627,0.713109969675819,"CD4+ Treg (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.118039990565065,0.85568723271241
"110","trajectory_group",1,3168,0.0264715577203501,0.870764376027587,"CD4+ Treg (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0027646374425594,0.906305779130753
"111","sex",1,3168,35.2047674224425,3.28846960773177e-09,"CD4+ Treg (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,3.35423899988641e-08
"112","discretized_admit_age_quantile",4,3168,2.59903140817891,0.0344563299146514,"CD4+ Treg (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0502077950184921
"113","virus_positive",1,3168,0.394040784208228,0.530228247791335,"CD4+ Treg (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0371742808663845,0.84505126991744
"114","event_type",11,3168,25.8333058434658,0,"CD4+ Treg (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"115","(Intercept)",1,3168,0.183822739135683,0.668137564941424,"CD8+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.139940625098173,0.851875395300316
"116","trajectory_group",1,3168,26.1111829695417,3.41406182435833e-07,"CD8+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0889008056755734,1.58288320947522e-06
"117","sex",1,3168,1.2298285087065,0.267524569615561,"CD8+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.359046132905094
"118","discretized_admit_age_quantile",4,3168,2.66723952499097,0.0307354177848429,"CD8+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0475001911220299
"119","virus_positive",1,3168,0.00507006594213206,0.94323957765998,"CD8+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.00426700264502267,0.961596715344851
